df_hash,22ZHK4.TDZQKW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V4ET
person_label,V31
date_time_start,2025-08-06_11-37-14.169000_+03
date_time_start_unix,1754462234.169
date_time_end,2025-08-06_11-46-34.046000_+03
length_difference_noticed,no

time,quality
14.577,58
15.555,72
16.673,66
17.551,65
18.477,67
19.892,72
20.524,69
21.453,57
22.622,58
23.518,56
24.424,60
25.595,60
26.521,61
27.743,61
28.617,56
29.605,42
30.374,34
31.732,37
32.517,35
33.346,32
34.516,32
35.731,40
36.320,68
37.539,67
38.418,72
39.295,76
40.512,78
41.390,70
42.413,68
43.486,63
44.509,39
45.241,33
46.505,32
47.338,29
48.263,31
49.433,39
50.457,66
51.237,62
52.696,72
53.285,51
54.211,43
55.381,47
56.262,37
57.194,39
58.406,45
59.281,51
60.159,63
61.381,65
62.306,68
63.178,69
64.351,69
65.228,66
66.151,68
67.327,68
68.202,68
69.081,64
70.308,69
71.321,71
72.297,69
73.272,67
74.172,65
75.080,67
76.248,73
77.171,74
78.051,74
79.265,70
80.343,74
81.024,73
82.239,75
83.085,73
84.042,73
85.167,74
86.096,72
86.971,75
88.286,71
89.071,69
90.044,64
91.117,69
92.147,40
92.918,0
94.231,0
95.352,0
95.893,0
97.111,0
97.988,0
98.880,51
100.084,53
101.008,58
101.885,62
103.298,54
103.936,55
105.005,67
106.032,67
107.009,68
107.836,71
109.026,41
109.929,32
110.924,40
111.983,35
113.003,39
113.786,35
115.004,0
115.927,31
116.757,26
118.021,30
118.864,42
119.733,48
120.903,68
121.829,70
122.707,71
123.924,67
124.944,69
125.875,72
126.898,74
127.918,75
128.651,74
129.871,73
130.748,74
131.674,73
132.844,61
133.755,36
134.696,20
135.835,21
136.789,26
137.667,24
138.792,32
139.669,46
140.599,47
141.765,46
142.741,39
143.569,0
144.740,0
145.728,34
146.544,33
147.713,0
148.639,24
149.517,23
150.687,21
151.613,33
152.786,34
153.904,35
154.587,25
155.466,28
156.777,27
157.560,29
158.486,33
159.659,43
160.534,51
161.560,63
162.638,54
163.515,37
164.435,33
165.612,28
166.527,30
167.408,30
168.578,55
169.492,62
170.576,76
171.700,77
172.526,74
173.404,77
174.571,72
175.481,53
176.375,21
177.523,29
178.617,22
179.303,24
180.473,34
181.399,39
182.286,37
183.446,44
184.616,39
185.252,38
186.563,0
187.347,4
188.370,30
189.444,38
190.321,53
191.198,0
192.511,27
193.299,0
194.460,0
195.728,40
196.413,53
197.194,70
198.364,79
199.241,83
200.457,84
201.338,80
202.215,76
203.287,36
204.312,27
205.335,3
206.163,4
207.303,3
208.259,0
209.154,0
210.307,38
211.185,60
212.062,59
213.425,71
214.210,73
215.053,76
216.255,80
217.428,75
218.016,77
219.375,73
220.114,77
220.984,75
222.397,79
223.080,73
224.003,51
225.322,46
226.316,40
226.980,30
228.442,25
229.076,42
229.955,55
231.318,64
232.356,66
232.976,74
234.243,78
234.976,72
235.996,60
237.272,63
238.020,67
238.875,64
240.094,65
240.973,66
241.851,71
243.070,63
244.040,67
244.917,30
246.044,26
247.013,23
247.796,0
249.255,19
249.892,0
251.014,50
251.989,48
252.936,55
253.792,61
255.019,68
255.840,67
256.864,66
257.936,59
258.908,63
259.739,64
261.008,65
261.980,65
262.715,64
263.930,64
264.815,66
265.690,71
266.859,74
267.784,73
268.661,72
269.939,72
270.759,73
271.684,74
272.948,72
273.828,69
274.609,64
275.827,50
276.753,48
277.733,44
278.805,42
279.729,31
280.651,34
281.921,27
282.753,34
283.583,23
284.892,33
285.628,26
286.553,0
287.868,0
288.601,0
289.529,0
290.707,10
291.623,0
292.502,0
293.670,35
294.596,32
295.474,32
296.692,24
297.570,28
298.448,39
299.617,42
300.593,66
301.675,70
302.650,69
303.517,45
304.399,42
305.614,35
306.491,0
307.466,9
308.733,21
309.465,26
310.342,37
311.563,25
312.441,0
313.462,0
314.580,2
315.503,0
316.396,0
317.614,26
318.483,27
319.461,0
320.823,32
321.409,26
322.286,0
323.477,0
324.382,0
325.260,0
326.576,0
327.356,39
328.257,45
329.453,52
330.424,44
331.212,53
332.429,53
333.498,47
334.327,35
335.594,49
336.427,46
337.203,49
338.763,56
339.251,54
340.197,49
341.347,42
342.273,44
343.199,41
344.467,31
345.293,28
346.125,32
347.295,41
348.221,49
349.098,25
350.463,0
351.197,18
352.267,0
353.291,0
354.168,0
355.152,34
356.265,43
357.437,48
358.066,56
359.483,47
360.171,39
361.091,34
362.213,39
363.157,41
364.018,40
365.483,40
366.065,52
366.990,32
368.160,0
369.038,28
370.060,27
371.136,24
372.162,43
372.983,66
374.114,65
375.041,71
376.010,76
377.081,72
378.254,74
378.935,75
380.103,76
380.981,74
381.859,71
383.077,74
384.015,77
384.832,76
386.197,56
386.928,37
388.000,36
389.071,33
389.902,35
390.972,37
392.009,56
392.876,55
393.802,43
395.069,50
395.898,49
396.780,48
397.991,39
398.967,42
399.752,50
400.920,50
401.846,51
402.876,59
403.942,58
404.820,36
405.701,31
406.965,30
407.796,19
408.671,0
409.935,20
410.770,23
411.888,0
412.863,29
413.835,58
414.668,75
415.931,73
416.909,76
417.641,66
418.814,52
419.738,54
420.614,53
421.932,55
422.711,48
423.606,57
424.863,69
425.831,55
426.562,47
427.858,15
428.659,0
