Time,Resistance (Ohms),Stage
145,-59083.97,Calibration (20s)
146,-56571.43,Calibration (20s)
147,-56376.55,Calibration (20s)
148,-55617.39,Calibration (20s)
149,-58066.91,Calibration (20s)
150,-58352.06,Calibration (20s)
0,-57304.19,Calibration (20s)
1,-52873.2,Calibration (20s)
1,-56571.43,Calibration (20s)
3,-57577.98,Calibration (20s)
4,-69112.71,Calibration (20s)
5,-57509.16,Calibration (20s)
5,-58568.74,Calibration (20s)
6,-58787.88,Calibration (20s)
7,-60314.96,Calibration (20s)
9,-64043.01,Calibration (20s)
9,-58066.91,Calibration (20s)
11,-57372.26,Calibration (20s)
12,-57647.06,Calibration (20s)
13,-56768.4,Calibration (20s)
15,-55555.55,Calibration (20s)
15,-55866.9,Calibration (20s)
15,-55493.93,Calibration (20s)
17,-55741.71,Calibration (20s)
17,-55741.71,Calibration (20s)
19,-55866.9,Calibration (20s)
20,-56376.55,Relaxation (4 min)
21,-60156.86,Relaxation (4 min)
22,-58424.02,Relaxation (4 min)
23,-58861.48,Relaxation (4 min)
24,-57440.59,Relaxation (4 min)
25,-56571.43,Relaxation (4 min)
25,-56376.55,Relaxation (4 min)
27,-56571.43,Relaxation (4 min)
27,-56636.85,Relaxation (4 min)
28,-55679.44,Relaxation (4 min)
30,-54653.13,Relaxation (4 min)
31,-54653.13,Relaxation (4 min)
32,-54536.26,Relaxation (4 min)
33,-54420.17,Relaxation (4 min)
34,-54889.27,Relaxation (4 min)
34,-58568.74,Relaxation (4 min)
35,-56571.43,Relaxation (4 min)
38,-56312.06,Relaxation (4 min)
38,-56571.43,Relaxation (4 min)
39,-57168.79,Relaxation (4 min)
41,-54420.17,Relaxation (4 min)
41,-56636.85,Relaxation (4 min)
42,-54478.11,Relaxation (4 min)
43,-51507.69,Relaxation (4 min)
43,-55371.33,Relaxation (4 min)
44,-55008.55,Relaxation (4 min)
45,-53795.38,Relaxation (4 min)
46,-53795.38,Relaxation (4 min)
48,-53300.81,Relaxation (4 min)
49,-53409.46,Relaxation (4 min)
50,-53355.05,Relaxation (4 min)
51,-54133.33,Relaxation (4 min)
51,-53355.05,Relaxation (4 min)
52,-52768,Relaxation (4 min)
53,-52715.66,Relaxation (4 min)
54,-52302.84,Relaxation (4 min)
56,-52715.66,Relaxation (4 min)
57,-53409.46,Relaxation (4 min)
58,-52507.94,Relaxation (4 min)
59,-57440.59,Relaxation (4 min)
60,-51900.31,Relaxation (4 min)
60,-51507.69,Relaxation (4 min)
61,-52611.46,Relaxation (4 min)
62,-55679.44,Relaxation (4 min)
63,-52507.94,Relaxation (4 min)
65,-52559.62,Relaxation (4 min)
66,-53795.38,Relaxation (4 min)
67,-53085.62,Relaxation (4 min)
68,-52663.48,Relaxation (4 min)
69,-52050.08,Relaxation (4 min)
69,-51900.31,Relaxation (4 min)
70,-51702.79,Relaxation (4 min)
71,-51556.24,Relaxation (4 min)
73,-51219.51,Relaxation (4 min)
74,-51267.18,Relaxation (4 min)
75,-51362.94,Relaxation (4 min)
76,-51267.18,Relaxation (4 min)
77,-51171.99,Relaxation (4 min)
78,-49897.81,Relaxation (4 min)
78,-50521.61,Relaxation (4 min)
79,-52150.71,Relaxation (4 min)
81,-51077.39,Relaxation (4 min)
82,-51030.3,Relaxation (4 min)
83,-50704.65,Relaxation (4 min)
84,-51507.69,Relaxation (4 min)
85,-49985.36,Relaxation (4 min)
86,-49767.44,Relaxation (4 min)
86,-52251.97,Relaxation (4 min)
87,-49467.62,Relaxation (4 min)
88,-49638.21,Relaxation (4 min)
90,-49552.67,Relaxation (4 min)
91,-49299,Relaxation (4 min)
92,-48926.55,Relaxation (4 min)
93,-48885.75,Relaxation (4 min)
94,-43193.66,Relaxation (4 min)
95,-48523.68,Relaxation (4 min)
95,-48484,Relaxation (4 min)
96,-48444.45,Relaxation (4 min)
97,-48444.45,Relaxation (4 min)
99,-52100.31,Relaxation (4 min)
100,-48170.56,Relaxation (4 min)
101,-48170.56,Relaxation (4 min)
102,-47638.33,Relaxation (4 min)
103,-47638.33,Relaxation (4 min)
104,-48016.41,Relaxation (4 min)
104,-47306.67,Relaxation (4 min)
105,-47270.3,Relaxation (4 min)
107,-47234.04,Relaxation (4 min)
108,-47161.8,Relaxation (4 min)
109,-47713.13,Relaxation (4 min)
110,-47601.08,Relaxation (4 min)
111,-47563.93,Relaxation (4 min)
112,-47054.16,Relaxation (4 min)
112,-46666.67,Relaxation (4 min)
113,-47161.8,Relaxation (4 min)
114,-48484,Relaxation (4 min)
116,-46631.99,Relaxation (4 min)
117,-45504.36,Relaxation (4 min)
118,-46189.26,Relaxation (4 min)
119,-46122.45,Relaxation (4 min)
120,-45956.91,Relaxation (4 min)
121,-45825.98,Relaxation (4 min)
121,-45632.04,Relaxation (4 min)
122,-45632.04,Relaxation (4 min)
124,-45664.16,Relaxation (4 min)
125,-45315.2,Relaxation (4 min)
126,-46494.18,Relaxation (4 min)
127,-46736.29,Relaxation (4 min)
128,-46323.91,Relaxation (4 min)
129,-45956.91,Relaxation (4 min)
130,-45793.45,Relaxation (4 min)
130,-45696.36,Relaxation (4 min)
131,-45600,Relaxation (4 min)
133,-45664.16,Relaxation (4 min)
134,-46122.45,Relaxation (4 min)
135,-45409.43,Relaxation (4 min)
136,-45128.84,Relaxation (4 min)
137,-45190.65,Relaxation (4 min)
138,-44945.19,Relaxation (4 min)
138,-44975.61,Relaxation (4 min)
139,-44975.61,Relaxation (4 min)
141,-44764.21,Relaxation (4 min)
142,-44734.3,Relaxation (4 min)
143,-44645.01,Relaxation (4 min)
144,-44468.34,Relaxation (4 min)
145,-44615.38,Relaxation (4 min)
146,-44294.19,Relaxation (4 min)
147,-44468.34,Relaxation (4 min)
147,-44323.04,Relaxation (4 min)
148,-44208.04,Relaxation (4 min)
150,-44236.69,Relaxation (4 min)
151,-44065.8,Relaxation (4 min)
152,-43813.95,Relaxation (4 min)
153,-43676.3,Relaxation (4 min)
154,-43567.32,Relaxation (4 min)
155,-43405.71,Relaxation (4 min)
156,-43432.5,Relaxation (4 min)
156,-43540.23,Relaxation (4 min)
158,-43432.5,Relaxation (4 min)
159,-43352.34,Relaxation (4 min)
160,-43246.31,Relaxation (4 min)
161,-43272.73,Relaxation (4 min)
162,-43037.12,Relaxation (4 min)
163,-43037.12,Relaxation (4 min)
164,-42908.28,Relaxation (4 min)
164,-42857.14,Relaxation (4 min)
165,-42755.55,Relaxation (4 min)
168,-43567.32,Relaxation (4 min)
168,-45315.2,Relaxation (4 min)
169,-43953.21,Relaxation (4 min)
170,-44037.56,Relaxation (4 min)
172,-43621.68,Relaxation (4 min)
172,-42456.14,Relaxation (4 min)
173,-43325.74,Relaxation (4 min)
173,-43299.2,Relaxation (4 min)
175,-43325.74,Relaxation (4 min)
176,-43432.5,Relaxation (4 min)
177,-46425.8,Relaxation (4 min)
178,-43703.7,Relaxation (4 min)
179,-41557.89,Relaxation (4 min)
180,-44410.01,Relaxation (4 min)
181,-44674.7,Relaxation (4 min)
182,-45664.16,Relaxation (4 min)
182,-46122.45,Relaxation (4 min)
184,-43272.73,Relaxation (4 min)
185,-44884.57,Relaxation (4 min)
186,-44794.19,Relaxation (4 min)
187,-44615.38,Relaxation (4 min)
188,-45728.64,Relaxation (4 min)
189,-46222.79,Relaxation (4 min)
190,-46562.91,Relaxation (4 min)
190,-47234.04,Relaxation (4 min)
191,-49810.77,Relaxation (4 min)
193,-48054.79,Relaxation (4 min)
194,-47675.68,Relaxation (4 min)
195,-47197.87,Relaxation (4 min)
196,-47234.04,Relaxation (4 min)
197,-46841.41,Relaxation (4 min)
198,-47270.3,Relaxation (4 min)
199,-48523.68,Relaxation (4 min)
201,-47939.97,Relaxation (4 min)
201,-47863.95,Relaxation (4 min)
202,-47601.08,Relaxation (4 min)
203,-47638.33,Relaxation (4 min)
204,-47270.3,Relaxation (4 min)
205,-47453.08,Relaxation (4 min)
206,-47713.13,Relaxation (4 min)
207,-47489.93,Relaxation (4 min)
208,-47343.12,Relaxation (4 min)
208,-47489.93,Relaxation (4 min)
210,-47270.3,Relaxation (4 min)
211,-47343.12,Relaxation (4 min)
212,-47379.68,Relaxation (4 min)
214,-46841.41,Relaxation (4 min)
214,-47826.09,Relaxation (4 min)
215,-47563.93,Relaxation (4 min)
216,-50567.16,Relaxation (4 min)
217,-47826.09,Relaxation (4 min)
218,-48093.28,Relaxation (4 min)
219,-47453.08,Relaxation (4 min)
220,-47234.04,Relaxation (4 min)
221,-47306.67,Relaxation (4 min)
222,-47234.04,Relaxation (4 min)
223,-47018.47,Relaxation (4 min)
224,-46841.41,Relaxation (4 min)
225,-48093.28,Relaxation (4 min)
226,-49767.44,Relaxation (4 min)
227,-47416.33,Relaxation (4 min)
228,-48967.47,Relaxation (4 min)
229,-48603.35,Relaxation (4 min)
230,-48248.28,Relaxation (4 min)
231,-50162,Relaxation (4 min)
232,-49090.91,Relaxation (4 min)
233,-50889.89,Relaxation (4 min)
234,-49810.77,Relaxation (4 min)
235,-50385.76,Relaxation (4 min)
236,-50162,Relaxation (4 min)
237,-49510.09,Relaxation (4 min)
238,-49090.91,Relaxation (4 min)
239,-48926.55,Relaxation (4 min)
240,-48967.47,Relaxation (4 min)
241,-48563.46,Relaxation (4 min)
242,-48885.75,Relaxation (4 min)
243,-49638.21,Relaxation (4 min)
244,-52926.05,Relaxation (4 min)
245,-54889.27,Relaxation (4 min)
246,-54889.27,Relaxation (4 min)
247,-55555.55,Relaxation (4 min)
248,-54478.11,Relaxation (4 min)
249,-54076.54,Relaxation (4 min)
250,-53739.7,Relaxation (4 min)
251,-53032.26,Relaxation (4 min)
252,-52926.05,Relaxation (4 min)
253,-52820.51,Relaxation (4 min)
254,-55866.9,Relaxation (4 min)
255,-63298.1,Relaxation (4 min)
256,-56768.4,Relaxation (4 min)
257,-54889.27,Relaxation (4 min)
258,-53795.38,Relaxation (4 min)
259,-53795.38,Relaxation (4 min)
