df_hash,22ZHK4.TDZQKW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.V4ET
person_label,V31
date_time_start,2025-08-06_11-37-14.169000_+03
date_time_start_unix,1754462234.169
date_time_end,2025-08-06_11-46-34.046000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
5.265,145,60,2
5.461,189,44,3
5.704,233,44,4
5.974,287,54,5
6.242,341,54,6
6.387,385,44,7
6.679,429,44,8
6.972,480,51,9
7.215,539,59,10
7.362,583,44,11
7.654,627,44,12
7.800,671,44,13
8.190,736,65,14
8.363,780,44,15
8.633,824,44,16
8.874,868,44,17
9.166,926,58,18
9.314,976,50,19
9.604,1020,44,20
9.849,1064,44,21
9.995,1108,44,22
10.287,1172,64,23
10.579,1216,44,24
10.823,1260,44,25
10.969,1304,44,26
11.265,1364,60,27
11.557,1408,44,28
11.701,1452,44,29
12.039,1499,47,30
12.275,1555,56,31
12.546,1599,44,32
12.678,1643,44,33
12.927,1703,60,34
13.220,1747,44,35
13.362,1791,44,36
13.894,1842,51,37
13.911,1894,52,38
14.187,1938,44,39
14.333,1982,44,40
14.582,2042,60,41
14.870,2086,44,42
15.164,2130,44,43
15.457,2187,57,44
15.567,2231,44,45
15.844,2275,44,46
16.137,2331,56,47
16.284,2376,45,48
16.527,2420,44,49
16.819,2472,52,50
17.117,2522,50,51
17.259,2566,44,52
17.502,2612,46,53
17.795,2669,57,54
17.941,2713,44,55
18.233,2757,44,56
18.483,2815,58,57
18.798,2859,44,58
18.915,2903,44,59
19.236,2960,57,60
19.452,3004,44,61
19.598,3048,44,62
19.908,3107,59,63
20.183,3151,44,64
20.430,3195,44,65
20.719,3258,63,66
20.865,3302,44,67
21.110,3346,44,68
21.405,3412,66,69
21.768,3459,47,70
21.987,3503,44,71
22.230,3556,53,72
22.525,3615,59,73
22.670,3659,44,74
22.963,3710,51,75
23.206,3767,57,76
23.498,3811,44,77
23.645,3860,49,78
23.936,3919,59,79
24.180,3963,44,80
24.473,4008,45,81
24.770,4071,63,82
24.912,4115,44,83
25.302,4159,44,84
25.448,4222,63,85
25.740,4266,44,86
25.842,4310,44,87
26.277,4373,63,88
26.423,4417,44,89
26.715,4461,44,90
26.959,4524,63,91
27.398,4568,44,92
27.414,4612,44,93
27.748,4674,62,94
27.956,4718,44,95
28.332,4762,44,96
28.591,4823,61,97
28.714,4867,44,98
28.911,4911,44,99
29.204,4971,60,100
29.497,5015,44,101
29.691,5059,44,102
29.886,5119,60,103
30.181,5163,44,104
30.327,5207,44,105
30.715,5266,59,106
30.862,5310,44,107
31.152,5354,44,108
31.445,5413,59,109
31.547,5458,45,110
31.834,5502,44,111
32.176,5558,56,112
32.451,5604,46,113
32.524,5648,44,114
32.809,5706,58,115
33.101,5750,44,116
33.297,5794,44,117
33.492,5850,56,118
33.790,5896,46,119
34.083,5940,44,120
34.321,5997,57,121
34.468,6042,45,122
34.767,6086,44,123
35.116,6135,49,124
35.443,6190,55,125
35.736,6234,44,126
36.026,6278,44,127
36.110,6338,60,128
36.176,6382,44,129
36.612,6426,44,130
36.710,6490,64,131
37.050,6534,44,132
37.245,6585,51,133
37.545,6645,60,134
37.684,6689,44,135
38.223,6749,60,136
38.282,6799,50,137
38.564,6843,44,138
38.805,6910,67,139
39.052,6954,44,140
39.341,7003,49,141
39.634,7065,62,142
39.780,7109,44,143
40.171,7169,60,144
40.317,7219,50,145
40.610,7263,44,146
40.854,7327,64,147
41.146,7371,44,148
41.439,7424,53,149
41.731,7480,56,150
41.828,7524,44,151
42.169,7586,62,152
42.418,7633,47,153
42.754,7677,44,154
43.047,7744,67,155
43.243,7788,44,156
43.388,7838,50,157
43.778,7899,61,158
43.973,7943,44,159
44.217,8001,58,160
44.528,8054,53,161
44.753,8098,44,162
45.047,8163,65,163
45.338,8207,44,164
45.484,8255,48,165
46.020,8317,62,166
46.041,8361,44,167
46.362,8421,60,168
46.557,8471,50,169
47.048,8515,44,170
47.164,8580,65,171
47.387,8624,44,172
47.533,8678,54,173
47.824,8734,56,174
48.173,8778,44,175
48.361,8844,66,176
48.653,8888,44,177
48.948,8938,50,178
49.191,8998,60,179
49.339,9042,44,180
49.778,9102,60,181
49.920,9152,50,182
50.167,9196,44,183
50.463,9262,66,184
50.749,9306,44,185
51.042,9357,51,186
51.285,9416,59,187
51.432,9460,44,188
51.725,9518,58,189
52.065,9562,44,190
52.260,9606,44,191
52.407,9656,50,192
52.940,9700,44,193
53.040,9744,44,194
53.096,9793,49,195
53.382,9837,44,196
53.576,9881,44,197
53.820,9930,49,198
54.064,9974,44,199
54.216,10018,44,200
54.503,10067,49,201
54.799,10111,44,202
54.893,10155,44,203
55.189,10205,50,204
55.478,10249,44,205
55.624,10293,44,206
55.966,10343,50,207
56.017,10387,44,208
56.307,10431,44,209
56.605,10479,48,210
56.701,10525,46,211
56.989,10569,44,212
57.281,10613,44,213
57.430,10663,50,214
57.671,10707,44,215
57.818,10751,44,216
58.113,10802,51,217
58.414,10846,44,218
58.549,10891,45,219
58.936,10941,50,220
59.134,10985,44,221
59.378,11033,48,222
59.476,11080,47,223
59.768,11124,44,224
59.914,11172,48,225
60.208,11219,47,226
60.479,11263,44,227
60.597,11309,46,228
60.939,11357,48,229
61.230,11401,44,230
61.328,11445,44,231
61.572,11496,51,232
61.865,11540,44,233
62.010,11584,44,234
62.314,11636,52,235
62.584,11680,44,236
62.693,11724,44,237
63.034,11777,53,238
63.333,11821,44,239
63.473,11865,44,240
63.668,11909,44,241
63.963,11961,52,242
64.106,12005,44,243
64.363,12049,44,244
64.643,12102,53,245
64.838,12146,44,246
65.081,12190,44,247
65.326,12242,52,248
65.475,12286,44,249
65.764,12330,44,250
66.060,12381,51,251
66.156,12425,44,252
66.447,12469,44,253
66.740,12521,52,254
66.887,12565,44,255
67.140,12613,48,256
67.424,12661,48,257
67.571,12705,44,258
67.860,12756,51,259
68.109,12800,44,260
68.494,12844,44,261
68.543,12896,52,262
68.835,12940,44,263
68.935,12988,48,264
69.226,13034,46,265
69.526,13078,44,266
69.668,13129,51,267
69.957,13173,44,268
70.203,13217,44,269
70.347,13269,52,270
70.639,13313,44,271
70.940,13357,44,272
71.032,13408,51,273
71.329,13452,44,274
71.615,13496,44,275
71.712,13548,52,276
72.004,13592,44,277
72.304,13638,46,278
72.446,13688,50,279
72.687,13732,44,280
73.008,13783,51,281
73.126,13827,44,282
73.424,13871,44,283
73.662,13923,52,284
73.811,13967,44,285
74.149,14011,44,286
74.393,14062,51,287
74.490,14106,44,288
74.926,14152,46,289
75.087,14202,50,290
75.222,14246,44,291
75.466,14298,52,292
75.758,14342,44,293
75.904,14386,44,294
76.197,14437,51,295
76.442,14481,44,296
76.588,14530,49,297
77.023,14576,46,298
77.176,14620,44,299
77.415,14672,52,300
77.566,14716,44,301
77.854,14760,44,302
78.000,14809,49,303
78.244,14856,47,304
78.545,14900,44,305
78.683,14944,44,306
79.005,14996,52,307
79.366,15040,44,308
79.391,15084,44,309
79.658,15136,52,310
79.999,15180,44,311
80.099,15224,44,312
80.349,15277,53,313
80.633,15321,44,314
80.780,15365,44,315
81.033,15417,52,316
81.354,15461,44,317
81.461,15505,44,318
81.754,15557,52,319
81.998,15601,44,320
82.144,15645,44,321
82.444,15696,51,322
82.729,15740,44,323
82.875,15784,44,324
83.121,15835,51,325
83.459,15879,44,326
83.609,15923,44,327
83.850,15974,51,328
84.094,16018,44,329
84.240,16068,50,330
84.533,16112,44,331
84.777,16156,44,332
84.923,16207,51,333
85.215,16251,44,334
85.556,16300,49,335
85.654,16346,46,336
85.898,16390,44,337
86.190,16441,51,338
86.343,16485,44,339
86.580,16529,44,340
86.921,16580,51,341
87.022,16624,44,342
87.360,16673,49,343
87.560,16720,47,344
87.702,16764,44,345
87.995,16816,52,346
88.291,16860,44,347
88.433,16904,44,348
88.676,16954,50,349
89.020,16998,44,350
89.115,17044,46,351
89.380,17093,49,352
89.653,17137,44,353
89.843,17187,50,354
90.239,17231,44,355
90.260,17275,44,356
90.483,17326,51,357
90.773,17370,44,358
90.919,17415,45,359
91.211,17465,50,360
91.456,17509,44,361
91.601,17555,46,362
91.894,17605,50,363
