Time,Resistance (Ohms),Stage
0,0.9380468997024325,Calibration (20s)
1,0.9380468997024325,Calibration (20s)
2,0.9300727971750541,Calibration (20s)
3,0.9232973381831228,Calibration (20s)
4,0.916325117702265,Calibration (20s)
5,0.919836395109882,Calibration (20s)
6,0.9295950785833355,Calibration (20s)
7,0.9310250312644853,Calibration (20s)
8,0.9366592736206447,Calibration (20s)
9,0.9403412301802838,Calibration (20s)
10,0.9414716363737864,Calibration (20s)
11,0.9426020425672889,Calibration (20s)
12,0.9437324487607914,Calibration (20s)
13,0.944862854954294,Calibration (20s)
14,0.9553621395203686,Calibration (20s)
15,0.9549330393198092,Calibration (20s)
16,0.9545039391192497,Calibration (20s)
17,0.9540748389186903,Calibration (20s)
18,0.9536457387181309,Calibration (20s)
19,0.9576644777332343,Calibration (20s)
20,0.9616832167483378,Normal - Watch Video (4 min)
21,0.9558233850572002,Normal - Watch Video (4 min)
22,0.9499635533660628,Normal - Watch Video (4 min)
23,0.9441037216749252,Normal - Watch Video (4 min)
24,0.9382438899837876,Normal - Watch Video (4 min)
25,0.9323840582926501,Normal - Watch Video (4 min)
26,0.9265242266015126,Normal - Watch Video (4 min)
27,0.9206643949103751,Normal - Watch Video (4 min)
28,0.9148045632192375,Normal - Watch Video (4 min)
29,0.9174595032498002,Normal - Watch Video (4 min)
30,0.920114443280363,Normal - Watch Video (4 min)
31,0.9227693833109257,Normal - Watch Video (4 min)
32,0.9254243233414885,Normal - Watch Video (4 min)
33,0.9280792633720513,Normal - Watch Video (4 min)
34,0.930734203402614,Normal - Watch Video (4 min)
35,0.9333891434331767,Normal - Watch Video (4 min)
36,0.9338249257185004,Normal - Watch Video (4 min)
37,0.9342607080038239,Normal - Watch Video (4 min)
38,0.9346964902891476,Normal - Watch Video (4 min)
39,0.9351322725744711,Normal - Watch Video (4 min)
40,0.9355680548597948,Normal - Watch Video (4 min)
41,0.9360038371451183,Normal - Watch Video (4 min)
42,0.936439619430442,Normal - Watch Video (4 min)
43,0.9368754017157654,Normal - Watch Video (4 min)
44,0.9373111840010891,Normal - Watch Video (4 min)
45,0.9377469662864126,Normal - Watch Video (4 min)
46,0.9381827485717363,Normal - Watch Video (4 min)
47,0.9386185308570598,Normal - Watch Video (4 min)
48,0.9390543131423835,Normal - Watch Video (4 min)
49,0.939490095427707,Normal - Watch Video (4 min)
50,0.9399258777130307,Normal - Watch Video (4 min)
51,0.9403616599983542,Normal - Watch Video (4 min)
52,0.9407974422836779,Normal - Watch Video (4 min)
53,0.9430332018997093,Normal - Watch Video (4 min)
54,0.9452689615157407,Normal - Watch Video (4 min)
55,0.947504721131772,Normal - Watch Video (4 min)
56,0.9497404807478034,Normal - Watch Video (4 min)
57,0.9519762403638348,Normal - Watch Video (4 min)
58,0.9542119999798663,Normal - Watch Video (4 min)
59,0.9564477595958977,Normal - Watch Video (4 min)
60,0.9586835192119291,Normal - Watch Video (4 min)
61,0.9609192788279604,Normal - Watch Video (4 min)
62,0.9631550384439918,Normal - Watch Video (4 min)
63,0.9653907980600231,Normal - Watch Video (4 min)
64,0.9669465408186284,Normal - Watch Video (4 min)
65,0.9685022835772337,Normal - Watch Video (4 min)
66,0.9700580263358388,Normal - Watch Video (4 min)
67,0.9716137690944441,Normal - Watch Video (4 min)
68,0.9731695118530492,Normal - Watch Video (4 min)
69,0.9747252546116545,Normal - Watch Video (4 min)
70,0.9762809973702598,Normal - Watch Video (4 min)
71,0.9778367401288649,Normal - Watch Video (4 min)
72,0.9793924828874702,Normal - Watch Video (4 min)
73,0.9809482256460755,Normal - Watch Video (4 min)
74,0.9825039684046807,Normal - Watch Video (4 min)
75,0.9840597111632859,Normal - Watch Video (4 min)
76,0.9856154539218912,Normal - Watch Video (4 min)
77,0.9871711966804964,Normal - Watch Video (4 min)
78,0.9887269394391016,Normal - Watch Video (4 min)
79,0.9902826821977069,Normal - Watch Video (4 min)
80,0.991838424956312,Normal - Watch Video (4 min)
81,0.9933941677149173,Normal - Watch Video (4 min)
82,0.9949499104735224,Normal - Watch Video (4 min)
83,0.9965056532321277,Normal - Watch Video (4 min)
84,0.996857764780334,Normal - Watch Video (4 min)
85,1.0,Normal - Watch Video (4 min)
86,0.9882341205470702,Normal - Watch Video (4 min)
87,0.9722268870456353,Normal - Watch Video (4 min)
88,0.9600150911486157,Normal - Watch Video (4 min)
89,0.9426131390000947,Normal - Watch Video (4 min)
90,0.9049493293407528,Normal - Watch Video (4 min)
91,0.8704325595420855,Normal - Watch Video (4 min)
92,0.864930788002308,Normal - Watch Video (4 min)
93,0.877006223611653,Normal - Watch Video (4 min)
94,0.8930290149982589,Normal - Watch Video (4 min)
95,0.9017540142775627,Normal - Watch Video (4 min)
96,0.9075811286513554,Normal - Watch Video (4 min)
97,0.910185244078051,Normal - Watch Video (4 min)
98,0.9148045632192375,Normal - Watch Video (4 min)
99,0.9112193858570586,Normal - Watch Video (4 min)
100,0.9075811286513554,Normal - Watch Video (4 min)
101,0.9173334059367974,Normal - Watch Video (4 min)
102,0.9208302694213885,Normal - Watch Video (4 min)
103,0.9203337898504932,Normal - Watch Video (4 min)
104,0.9228058920456651,Normal - Watch Video (4 min)
105,0.924277256156461,Normal - Watch Video (4 min)
106,0.9228058920456651,Normal - Watch Video (4 min)
107,0.9158192576417814,Normal - Watch Video (4 min)
108,0.9148045632192375,Normal - Watch Video (4 min)
109,0.9148045632192375,Normal - Watch Video (4 min)
110,0.918337804700037,Normal - Watch Video (4 min)
111,0.9228058920456651,Normal - Watch Video (4 min)
112,0.9276750525193019,Normal - Watch Video (4 min)
113,0.9338590830823098,Normal - Watch Video (4 min)
114,0.9333891434331767,Normal - Watch Video (4 min)
115,0.9361948249898071,Normal - Watch Video (4 min)
116,0.9380468997024325,Normal - Watch Video (4 min)
117,0.9412527392173561,Normal - Watch Video (4 min)
118,0.9426131390000947,Normal - Watch Video (4 min)
119,0.9361948249898071,Normal - Watch Video (4 min)
120,0.9075811286513554,Normal - Watch Video (4 min)
121,0.9033567052425954,Normal - Watch Video (4 min)
122,0.9028236188830628,Normal - Watch Video (4 min)
123,0.9017540142775627,Normal - Watch Video (4 min)
124,0.9012172672391663,Normal - Watch Video (4 min)
125,0.9028236188830628,Normal - Watch Video (4 min)
126,0.9054778398517057,Normal - Watch Video (4 min)
127,0.8963362095592221,Normal - Watch Video (4 min)
128,0.8704325595420855,Normal - Watch Video (4 min)
129,0.8410640769804157,Normal - Watch Video (4 min)
130,0.8548636923345841,Normal - Watch Video (4 min)
131,0.8593139338707515,Normal - Watch Video (4 min)
