df_hash,22ZHK4.U116G3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.0HMD
person_label,V22-2
date_time_start,2025-05-27_09-51-37.125000_+03
date_time_start_unix,1748328697.125
date_time_end,2025-05-27_09-59-17.135000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
6.590,75,75,0
7.175,150,75,1
8.052,225,75,2
8.637,300,75,3
9.515,375,75,4
10.149,450,75,5
11.026,525,75,6
11.611,600,75,7
12.515,675,75,8
13.122,750,75,9
14.002,823,73,10
14.585,897,74,11
15.462,972,75,12
16.096,1045,73,13
16.974,1120,75,14
17.596,1195,75,15
18.485,1267,72,16
19.070,1342,75,17
19.947,1417,75,18
20.552,1492,75,19
21.459,1567,75,20
22.092,1642,75,21
22.970,1717,75,22
23.555,1792,75,23
24.470,1867,75,24
25.018,1942,75,25
25.947,2017,75,26
26.529,2092,75,27
27.406,2167,75,28
27.991,2242,75,29
28.909,2317,75,30
29.505,2392,75,31
30.380,2467,75,32
31.022,2542,75,33
31.891,2617,75,34
32.476,2692,75,35
33.600,2767,75,36
33.939,2842,75,37
34.865,2917,75,38
35.450,2992,75,39
36.328,3067,75,40
36.912,3142,75,41
37.854,3217,75,42
38.619,3292,75,43
39.341,3367,75,44
39.886,3442,75,45
40.823,3517,75,46
41.451,3592,75,47
42.334,3667,75,48
42.911,3742,75,49
43.787,3817,75,50
44.371,3892,75,51
45.254,3967,75,52
45.882,4042,75,53
46.763,4117,75,54
47.637,4192,75,55
48.243,4267,75,56
48.905,4342,75,57
49.797,4417,75,58
50.563,4492,75,59
51.268,4567,75,60
51.830,4642,75,61
52.716,4717,75,62
53.294,4792,75,63
54.314,4867,75,64
54.804,4942,75,65
55.974,5017,75,66
56.277,5092,75,67
57.193,5167,75,68
58.216,5242,75,69
58.655,5317,75,70
59.245,5392,75,71
60.166,5467,75,72
60.751,5542,75,73
61.678,5617,75,74
62.263,5692,75,75
63.140,5767,75,76
63.725,5842,75,77
64.627,5917,75,78
65.237,5992,75,79
66.114,6067,75,80
66.699,6142,75,81
67.578,6217,75,82
68.210,6292,75,83
69.088,6367,75,84
69.673,6442,75,85
70.599,6517,75,86
71.184,6592,75,87
72.061,6667,75,88
72.658,6742,75,89
73.573,6817,75,90
74.158,6892,75,91
75.035,6967,75,92
75.625,7042,75,93
76.546,7117,75,94
77.131,7192,75,95
78.009,7267,75,96
78.886,7342,75,97
79.540,7417,75,98
80.105,7492,75,99
80.982,7567,75,100
81.568,7642,75,101
82.494,7717,75,102
83.079,7792,75,103
83.956,7867,75,104
84.590,7942,75,105
85.468,8017,75,106
86.053,8092,75,107
86.930,8167,75,108
87.573,8242,75,109
88.452,8317,75,110
89.027,8392,75,111
89.904,8467,75,112
90.541,8542,75,113
91.438,8617,75,114
92.000,8692,75,115
92.927,8767,75,116
93.512,8842,75,117
94.389,8917,75,118
94.982,8992,75,119
95.900,9067,75,120
96.485,9142,75,121
97.363,9217,75,122
97.969,9292,75,123
98.874,9367,75,124
99.459,9442,75,125
100.338,9517,75,126
100.922,9592,75,127
101.850,9667,75,128
102.774,9742,75,129
103.314,9817,75,130
103.895,9892,75,131
104.822,9967,75,132
105.410,10042,75,133
106.476,10117,75,134
106.918,10192,75,135
107.795,10267,75,136
108.380,10342,75,137
109.307,10417,75,138
109.891,10492,75,139
110.769,10567,75,140
111.354,10642,75,141
112.281,10717,75,142
112.865,10792,75,143
113.756,10867,75,144
114.331,10942,75,145
115.254,11017,75,146
115.855,11092,75,147
116.960,11167,75,148
117.399,11242,75,149
118.228,11317,75,150
118.813,11392,75,151
119.690,11467,75,152
120.324,11542,75,153
121.250,11617,75,154
121.787,11692,75,155
122.713,11767,75,156
123.319,11842,75,157
124.176,11917,75,158
125.051,11992,75,159
125.638,12067,75,160
126.271,12142,75,161
127.149,12217,75,162
127.734,12292,75,163
128.661,12367,75,164
129.245,12442,75,165
130.123,12517,75,166
130.709,12592,75,167
131.637,12667,75,168
132.219,12742,75,169
133.160,12817,75,170
133.682,12892,75,171
134.612,12967,75,172
135.253,13042,75,173
136.085,13117,75,174
136.656,13192,75,175
137.872,13267,75,176
138.167,13342,75,177
139.053,13417,75,178
139.678,13492,75,179
140.564,13567,75,180
141.140,13642,75,181
142.019,13717,75,182
142.652,13792,75,183
143.530,13867,75,184
144.136,13942,75,185
144.992,14017,75,186
145.626,14092,75,187
146.503,14167,75,188
147.097,14242,75,189
147.966,14317,75,190
148.599,14392,75,191
149.477,14467,75,192
150.156,14542,75,193
150.988,14617,75,194
151.573,14692,75,195
152.451,14767,75,196
153.036,14842,75,197
153.962,14917,75,198
154.742,14992,75,199
155.430,15067,75,200
156.009,15142,75,201
156.936,15217,75,202
157.521,15292,75,203
158.398,15367,75,204
158.983,15442,75,205
159.947,15517,75,206
160.544,15592,75,207
161.372,15667,75,208
162.103,15742,75,209
162.883,15817,75,210
163.468,15892,75,211
164.489,15967,75,212
164.980,16042,75,213
165.857,16117,75,214
166.442,16192,75,215
167.322,16267,75,216
167.975,16342,75,217
168.831,16417,75,218
169.416,16492,75,219
170.342,16567,75,220
170.936,16642,75,221
