df_hash,22ZHK4.4549PD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RR3X
person_label,V8
date_time_start,2025-05-21_10-22-56.669000_+03
date_time_start_unix,1747812176.669
date_time_end,2025-05-21_10-30-43.316000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.807,75,75,0
6.443,150,75,1
7.319,225,75,2
7.903,300,75,3
8.783,375,75,4
9.438,450,75,5
10.292,525,75,6
10.876,600,75,7
11.803,675,75,8
12.388,750,75,9
13.265,825,75,10
13.899,900,75,11
14.782,975,75,12
15.362,1050,75,13
16.239,1125,75,14
16.885,1200,75,15
17.756,1275,75,16
18.336,1350,75,17
19.213,1425,75,18
19.816,1500,75,19
20.770,1575,75,20
21.309,1650,75,21
22.187,1725,75,22
22.967,1800,75,23
23.744,1875,75,24
24.283,1950,75,25
25.160,2025,75,26
25.799,2100,75,27
26.767,2175,75,28
27.257,2250,75,29
28.178,2325,75,30
28.774,2400,75,31
29.646,2475,75,32
30.231,2550,75,33
31.108,2625,75,34
31.754,2700,75,35
32.625,2775,75,36
33.205,2850,75,37
34.083,2925,75,38
34.722,3000,75,39
35.598,3075,75,40
36.197,3150,75,41
37.055,3225,75,42
37.736,3300,75,43
38.603,3375,75,44
39.152,3450,75,45
40.085,3525,75,46
40.758,3600,75,47
41.589,3675,75,48
42.126,3750,75,49
43.052,3825,75,50
43.683,3900,75,51
44.519,3975,75,52
45.099,4050,75,53
46.026,4125,75,54
46.627,4200,75,55
47.493,4275,75,56
48.073,4350,75,57
48.999,4425,75,58
49.591,4500,75,59
50.462,4575,75,60
51.096,4650,75,61
51.973,4725,75,62
52.706,4800,75,63
53.488,4875,75,64
54.069,4950,75,65
54.965,5025,75,66
55.542,5100,75,67
56.507,5175,75,68
57.092,5250,75,69
57.921,5325,75,70
58.510,5400,75,71
59.438,5475,75,72
60.017,5550,75,73
60.894,5625,75,74
61.769,5700,75,75
62.411,5775,75,76
62.991,5850,75,77
63.872,5925,75,78
64.500,6000,75,79
65.384,6075,75,80
65.965,6150,75,81
66.842,6225,75,82
67.525,6300,75,83
68.358,6375,75,84
68.940,6450,75,85
69.815,6525,75,86
70.644,6600,75,87
71.327,6675,75,88
71.915,6750,75,89
72.789,6825,75,90
73.423,6900,75,91
74.306,6975,75,92
74.891,7050,75,93
75.787,7125,75,94
76.403,7200,75,95
77.323,7275,75,96
77.860,7350,75,97
78.739,7425,75,98
79.419,7500,75,99
80.492,7575,75,100
80.833,7650,75,101
81.713,7725,75,102
82.350,7800,75,103
83.563,7875,75,104
83.856,7950,75,105
84.686,8025,75,106
85.324,8100,75,107
86.342,8175,75,108
86.799,8249,74,109
87.671,8323,74,110
88.298,8396,73,111
89.175,8471,75,112
89.756,8546,75,113
90.671,8621,75,114
91.318,8696,75,115
92.143,8771,75,116
92.779,8846,75,117
93.606,8921,75,118
94.384,8996,75,119
95.122,9071,75,120
95.702,9146,75,121
96.628,9221,75,122
97.269,9296,75,123
98.137,9371,75,124
98.699,9446,75,125
99.602,9521,75,126
100.236,9596,75,127
101.075,9671,75,128
101.650,9746,75,129
102.576,9821,75,130
103.167,9896,75,131
104.044,9971,75,132
104.627,10046,75,133
105.552,10121,75,134
106.139,10196,75,135
107.068,10271,75,136
107.597,10346,75,137
108.526,10421,75,138
109.114,10494,73,139
110.081,10569,75,140
110.620,10644,75,141
111.518,10718,74,142
112.088,10793,75,143
113.009,10867,74,144
113.596,10941,74,145
114.519,11015,74,146
115.060,11090,75,147
115.988,11165,75,148
116.567,11240,75,149
117.468,11315,75,150
118.135,11390,75,151
118.962,11465,75,152
119.592,11540,75,153
120.418,11615,75,154
121.053,11690,75,155
121.984,11765,75,156
122.564,11840,75,157
123.410,11915,75,158
124.267,11990,75,159
124.925,12065,75,160
125.488,12140,75,161
126.366,12215,75,162
127.294,12290,75,163
128.024,12365,75,164
128.511,12440,75,165
129.340,12515,75,166
129.979,12590,75,167
130.859,12665,75,168
131.436,12740,75,169
132.314,12815,75,170
132.953,12890,75,171
133.825,12965,75,172
134.410,13040,75,173
135.287,13115,75,174
135.927,13190,75,175
137.194,13265,75,176
137.432,13340,75,177
138.282,13415,75,178
138.900,13490,75,179
139.778,13565,75,180
140.357,13640,75,181
141.284,13715,75,182
141.875,13790,75,183
142.847,13865,75,184
143.331,13940,75,185
144.210,14015,75,186
144.847,14090,75,187
145.728,14165,75,188
146.305,14240,75,189
147.184,14315,75,190
147.822,14390,75,191
148.798,14465,75,192
149.327,14540,75,193
150.207,14615,75,194
151.184,14690,75,195
151.691,14765,75,196
152.253,14840,75,197
153.276,14915,75,198
154.113,14990,75,199
154.641,15065,75,200
155.249,15140,75,201
155.860,15197,57,202
156.743,15272,75,203
157.343,15347,75,204
158.200,15422,75,205
158.834,15497,75,206
159.763,15572,75,207
160.297,15647,75,208
161.225,15722,75,209
161.808,15797,75,210
162.690,15872,75,211
163.296,15947,75,212
164.148,16022,75,213
164.781,16097,75,214
165.715,16172,75,215
166.244,16247,75,216
