df_hash,22ZHK4.4549PD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RR3X
person_label,V8
date_time_start,2025-05-21_10-22-56.669000_+03
date_time_start_unix,1747812176.669
date_time_end,2025-05-21_10-30-43.316000_+03
length_difference_noticed,no

time,ppg_quality
58.028,81
60.048,79
61.058,78
63.078,78
65.098,83
67.108,93
69.128,103
72.158,108
73.168,106
74.178,99
76.198,88
78.218,83
79.228,84
80.238,85
82.258,87
83.268,88
85.288,95
87.308,76
89.328,85
91.348,75
94.378,71
95.388,73
96.398,75
98.418,96
99.428,89
100.438,88
102.458,91
104.478,95
105.488,95
107.508,95
108.518,95
109.528,95
111.548,86
113.568,73
115.588,58
117.608,33
119.628,10
121.648,16
124.678,35
125.688,44
127.708,62
128.718,71
130.738,86
131.748,85
132.758,84
133.768,83
135.788,82
137.808,85
139.828,83
141.848,77
143.868,80
145.888,79
146.898,79
148.918,76
150.938,75
151.948,78
153.968,77
154.978,74
156.998,71
158.008,76
159.018,77
160.028,82
161.038,84
162.048,83
164.068,76
166.088,83
167.098,84
168.108,71
169.118,62
171.138,56
172.148,58
173.158,63
175.178,64
176.188,59
177.198,59
178.208,65
179.218,72
180.228,77
181.238,77
182.248,82
183.258,70
184.268,61
186.288,55
187.298,58
188.308,61
189.318,57
190.328,57
192.348,51
194.368,74
195.378,75
197.398,62
198.408,59
199.418,64
201.438,55
203.458,45
204.468,43
205.478,50
206.488,56
208.508,70
209.518,73
210.528,72
211.538,73
212.548,74
214.568,77
216.588,75
217.598,74
219.618,71
221.638,87
223.658,95
224.668,94
226.688,91
227.698,91
230.728,97
232.748,91
234.768,97
236.788,105
237.798,106
238.808,105
239.818,104
241.838,106
243.858,105
245.878,95
247.898,91
248.908,91
250.928,91
252.948,92
253.958,94
254.968,97
256.988,102
257.998,103
260.018,97
261.018,94
263.038,84
264.048,83
266.068,85
268.088,85
269.098,87
271.118,90
272.128,92
273.138,95
275.158,95
277.178,86
279.198,88
281.218,89
282.228,88
284.248,76
285.258,71
286.268,70
288.288,72
290.308,68
292.328,70
293.338,78
294.348,87
297.378,92
299.398,91
300.408,95
301.418,99
302.428,98
304.448,92
305.458,91
308.488,101
310.508,102
312.528,97
313.538,98
315.558,102
316.568,103
317.578,101
319.598,95
321.618,93
323.638,98
325.658,97
327.678,97
328.688,97
330.708,98
332.728,96
334.748,94
336.768,89
337.778,88
338.788,86
340.808,81
341.818,82
343.838,79
344.848,81
345.858,85
347.878,84
348.888,86
349.898,89
351.918,89
352.928,90
354.948,92
356.968,88
358.988,89
359.998,91
361.008,94
362.018,98
363.028,98
364.038,97
366.058,95
368.078,97
370.098,97
371.108,98
372.118,96
374.138,90
375.148,91
376.158,94
377.168,98
379.188,95
380.198,92
381.208,90
382.218,91
383.228,92
385.248,91
386.258,88
388.278,80
389.288,69
390.298,68
392.318,59
393.328,55
395.348,54
396.358,52
397.368,52
399.388,70
401.408,77
402.418,84
403.428,89
404.438,93
405.448,94
407.468,97
408.478,94
410.498,89
411.508,90
412.518,89
414.538,90
416.558,89
417.568,90
418.578,94
421.608,91
422.618,93
423.628,94
425.648,97
426.658,101
427.668,101
429.688,96
430.698,96
432.718,100
434.738,95
436.758,90
438.778,91
439.788,95
440.798,98
441.808,97
442.818,85
443.828,73
445.848,56
447.868,48
449.888,39
451.908,35
453.928,55
454.938,64
456.958,84
458.978,90
460.998,93
462.008,94
463.018,97
