df_hash,22ZHK4.VNCQ3E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8YG5
person_label,V9
date_time_start,2025-05-22_10-00-56.950000_+03
date_time_start_unix,1747897256.95
date_time_end,2025-05-22_10-05-07.791000_+03
length_difference_noticed,no

time,heart_rate
15.615,94
16.768,95
17.694,95
18.571,94
19.741,92
20.668,92
21.545,92
22.715,94
23.641,95
24.519,95
25.689,95
26.616,95
27.492,95
28.662,95
29.651,95
30.466,95
32.078,95
32.562,95
33.443,93
34.610,92
35.536,90
36.660,89
37.636,89
38.510,89
39.387,91
40.606,92
41.484,93
42.361,93
43.580,94
44.457,94
45.630,94
46.561,93
47.435,93
48.308,92
49.527,92
50.404,91
51.290,91
52.524,90
53.382,89
54.256,88
55.474,88
56.354,88
57.264,88
58.448,90
59.622,91
60.203,90
61.428,90
62.300,87
63.227,86
64.396,84
65.283,82
66.203,83
67.369,82
68.248,82
69.177,88
70.348,89
71.269,90
72.149,91
73.339,90
74.441,90
75.122,90
76.635,90
77.168,90
78.126,90
79.271,90
80.195,90
81.068,90
82.241,91
83.164,92
84.041,93
85.211,93
86.138,94
87.020,94
88.480,94
89.123,94
90.012,94
91.162,94
92.125,93
92.963,92
94.186,92
95.060,91
95.936,91
97.160,92
98.032,92
98.910,92
100.129,92
101.026,91
101.884,91
103.102,91
103.984,91
104.857,91
106.084,91
106.956,91
107.833,90
109.050,90
109.927,90
110.825,90
112.024,91
112.930,92
113.783,92
115.095,92
115.875,92
116.752,91
117.983,91
118.849,91
119.755,92
120.945,92
121.822,92
122.748,92
123.918,92
124.796,93
125.733,94
126.892,95
127.772,96
128.696,97
129.887,98
130.753,97
131.918,97
132.888,97
133.815,97
134.646,91
135.900,89
136.691,87
137.617,87
138.787,87
139.665,88
140.606,88
141.761,88
142.787,88
143.565,87
144.734,86
145.620,86
146.538,85
147.708,86
148.638,86
149.512,87
150.828,87
151.620,87
152.784,87
153.723,87
154.605,87
155.460,87
156.647,87
157.556,87
158.438,87
159.603,87
160.553,87
161.407,87
162.577,87
163.504,88
164.381,88
165.551,89
166.482,89
167.354,90
168.525,91
169.697,92
170.328,92
171.596,93
172.424,93
173.597,94
174.816,94
175.398,95
176.281,95
177.494,94
178.401,92
179.250,90
180.468,88
181.346,87
182.309,86
183.443,86
184.319,86
185.246,86
186.416,86
187.293,87
188.191,87
189.389,88
190.288,88
191.396,88
192.369,88
193.241,88
194.167,88
195.337,89
196.214,89
197.144,89
198.337,88
199.195,87
200.120,86
201.319,85
202.162,85
203.088,85
204.260,86
205.174,87
206.062,89
207.237,90
208.405,91
209.036,91
210.206,91
211.132,92
212.016,92
213.204,93
214.065,93
215.084,94
216.153,94
217.079,95
217.961,94
219.127,94
220.053,91
220.931,89
222.104,87
223.031,86
223.904,85
225.074,84
226.009,84
226.886,85
228.048,84
228.974,84
229.852,83
231.023,83
232.095,82
232.827,82
233.998,82
234.922,82
235.823,82
237.116,82
237.896,83
238.778,83
239.943,83
240.869,83
241.747,83
242.945,83
243.843,83
244.726,83
