df_hash,22ZHK4.VNCQ3E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8YG5
person_label,V9
date_time_start,2025-05-22_10-00-56.950000_+03
date_time_start_unix,1747897256.95
date_time_end,2025-05-22_10-05-07.791000_+03
length_difference_noticed,no

time,perfusion_ir
23.059,0.680
23.498,0.680
24.129,0.680
24.725,0.680
25.301,0.680
26.033,0.670
26.533,0.670
27.349,0.670
27.836,0.670
28.519,0.660
29.102,0.660
29.835,0.660
30.323,0.660
31.008,0.660
31.687,0.650
33.101,0.650
33.930,0.660
34.564,0.660
35.246,0.670
35.880,0.670
36.416,0.660
37.691,0.660
38.186,0.650
38.951,0.650
39.585,0.650
40.170,0.650
40.757,0.660
41.403,0.660
42.074,0.660
42.656,0.660
43.485,0.660
44.068,0.670
44.606,0.670
45.386,0.670
46.118,0.670
46.553,0.670
47.431,0.660
47.823,0.660
48.603,0.660
49.237,0.660
49.968,0.670
50.700,0.670
51.282,0.670
52.065,0.680
52.893,0.680
53.378,0.680
54.110,0.690
55.038,0.700
55.429,0.700
56.062,0.700
56.647,0.700
57.132,0.690
57.915,0.680
58.502,0.690
59.328,0.710
60.060,0.710
61.083,0.720
61.820,0.740
62.253,0.740
62.546,0.740
67.131,0.740
67.713,0.740
68.350,0.740
69.034,0.720
69.712,0.700
70.343,0.670
71.074,0.670
71.672,0.670
72.347,0.690
73.029,0.690
73.758,0.690
74.197,0.700
74.879,0.710
75.611,0.700
76.294,0.700
76.883,0.700
77.558,0.690
78.441,0.690
78.780,0.680
79.563,0.670
80.190,0.680
80.973,0.680
81.462,0.690
81.997,0.690
82.777,0.690
83.220,0.690
83.898,0.690
84.438,0.690
85.166,0.690
85.751,0.690
86.433,0.690
87.016,0.690
87.749,0.690
88.237,0.690
88.919,0.680
89.602,0.680
90.284,0.690
90.869,0.690
91.747,0.690
92.386,0.690
92.917,0.690
93.599,0.690
94.181,0.690
94.769,0.700
95.451,0.700
96.139,0.700
96.782,0.710
97.499,0.710
98.139,0.710
98.669,0.710
99.352,0.720
100.083,0.720
100.716,0.720
101.362,0.730
102.128,0.730
102.633,0.730
103.254,0.730
103.980,0.720
104.714,0.720
105.397,0.730
106.076,0.730
106.546,0.730
107.249,0.720
107.934,0.720
108.666,0.720
109.345,0.720
109.844,0.720
110.515,0.720
111.146,0.720
111.685,0.720
112.514,0.720
113.097,0.720
113.778,0.720
114.318,0.720
115.049,0.730
115.829,0.730
116.276,0.730
116.956,0.730
117.681,0.730
118.315,0.730
118.908,0.720
119.486,0.720
120.168,0.720
120.850,0.720
121.432,0.720
122.118,0.720
124.459,0.710
126.310,0.710
127.041,0.710
127.529,0.710
128.114,0.700
128.843,0.700
129.292,0.690
130.110,0.680
130.746,0.680
131.673,0.680
134.502,0.680
135.182,0.680
135.865,0.680
136.645,0.680
137.327,0.700
137.815,0.710
138.509,0.700
139.180,0.700
139.913,0.710
140.597,0.720
141.374,0.740
142.157,0.720
143.470,0.740
144.204,0.740
144.981,0.740
145.612,0.750
146.149,0.750
146.833,0.760
147.516,0.770
148.202,0.760
148.933,0.750
149.612,0.760
150.295,0.750
150.980,0.760
151.608,0.760
152.540,0.760
153.123,0.770
153.656,0.770
154.341,0.760
155.024,0.760
155.706,0.760
156.389,0.770
157.071,0.760
157.851,0.760
158.433,0.760
159.071,0.760
159.996,0.770
160.432,0.760
161.131,0.760
161.702,0.760
162.482,0.760
163.036,0.750
166.477,0.740
166.923,0.740
167.513,0.740
168.237,0.740
168.873,0.730
169.553,0.720
170.185,0.720
170.819,0.720
171.501,0.720
172.037,0.710
172.668,0.710
173.305,0.710
173.807,0.710
174.474,0.700
175.154,0.700
175.946,0.700
176.669,0.700
177.400,0.700
178.131,0.700
178.864,0.700
179.545,0.700
180.185,0.700
181.007,0.700
181.694,0.700
182.285,0.710
183.101,0.710
183.883,0.720
185.736,0.720
187.004,0.720
187.628,0.720
188.466,0.730
189.148,0.730
189.977,0.730
190.417,0.740
191.147,0.740
191.830,0.740
192.363,0.750
193.144,0.740
194.024,0.740
194.316,0.740
195.047,0.740
195.827,0.750
196.510,0.740
197.246,0.740
197.924,0.750
198.615,0.750
199.440,0.750
200.066,0.750
200.800,0.750
201.534,0.750
203.335,0.750
203.968,0.750
205.282,0.750
205.870,0.750
207.232,0.750
208.502,0.740
209.186,0.730
210.550,0.730
210.988,0.730
211.671,0.730
212.305,0.730
212.938,0.730
213.475,0.730
214.057,0.720
214.986,0.700
215.278,0.700
215.965,0.700
216.663,0.700
217.375,0.700
218.206,0.700
219.715,0.700
220.446,0.700
221.129,0.700
221.811,0.710
222.591,0.720
223.322,0.720
224.056,0.730
224.687,0.730
225.516,0.730
226.005,0.730
226.878,0.740
227.664,0.760
228.344,0.780
229.033,0.780
229.806,0.780
230.586,0.790
231.271,0.800
231.951,0.810
232.633,0.810
233.365,0.800
234.193,0.800
234.831,0.800
235.513,0.800
236.244,0.810
236.972,0.820
237.657,0.820
238.339,0.810
239.074,0.820
239.859,0.830
240.531,0.830
241.265,0.830
241.945,0.830
242.627,0.830
243.358,0.820
244.087,0.820
244.721,0.810
245.504,0.810
