df_hash,22ZHK4.VNCQ3E
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8YG5
person_label,V9
date_time_start,2025-05-22_10-00-56.950000_+03
date_time_start_unix,1747897256.95
date_time_end,2025-05-22_10-05-07.791000_+03
length_difference_noticed,no

time,rr_int
9.309,4030
10.674,605
11.259,1380
11.941,650
12.478,635
13.210,640
13.745,650
14.428,625
15.116,655
15.706,650
16.378,625
17.061,650
17.645,665
18.328,660
19.011,695
19.693,655
20.278,640
20.981,635
21.497,630
22.228,630
22.764,640
23.446,660
24.031,635
24.715,620
25.250,630
25.981,645
26.518,630
27.200,620
27.785,620
28.467,610
29.004,610
29.686,635
30.271,640
30.954,670
31.636,680
32.367,680
33.050,730
33.879,710
34.415,730
35.146,675
35.828,680
36.365,615
36.950,620
37.685,600
38.171,605
38.900,615
39.436,625
40.128,635
40.703,655
41.387,630
41.930,640
42.605,635
43.336,635
44.018,660
44.554,675
45.335,655
45.968,670
46.504,660
47.187,615
47.772,640
48.454,660
49.137,705
49.868,705
50.551,675
51.233,675
51.964,715
52.647,730
53.329,690
54.012,700
54.694,685
55.279,665
55.962,620
56.499,590
57.083,600
57.766,620
58.497,665
59.277,710
60.008,760
60.837,775
61.526,765
62.202,730
62.348,725
62.884,205
63.031,530
63.177,145
63.617,130
63.860,365
64.156,240
64.688,320
65.273,585
65.519,600
65.809,245
66.399,295
67.081,585
67.662,605
68.300,635
68.885,660
69.563,645
70.245,665
71.002,665
71.661,665
72.200,675
72.878,670
73.609,645
74.145,655
74.828,670
75.559,660
76.242,675
76.781,645
77.509,670
78.199,675
78.728,665
79.418,640
80.141,635
80.678,650
81.455,635
81.946,640
82.628,630
83.213,610
83.866,620
84.432,630
85.117,645
85.702,640
86.381,620
86.918,620
87.600,625
88.185,645
88.867,635
89.550,645
90.232,665
90.818,695
91.500,685
92.185,640
92.768,670
93.450,655
94.133,655
94.718,635
95.400,640
96.087,650
96.760,665
97.350,650
98.081,655
98.618,665
99.300,670
99.983,660
100.665,670
101.267,675
101.933,635
102.616,650
103.203,655
103.882,665
104.565,650
105.247,685
105.930,695
106.516,655
107.197,675
107.884,685
108.633,655
109.147,640
109.832,640
110.464,645
111.097,620
111.634,625
112.316,635
113.047,655
113.730,675
114.266,685
114.998,685
115.680,675
116.265,640
116.949,640
117.630,640
118.166,640
118.897,635
119.434,625
120.119,650
120.799,680
121.384,645
122.066,650
122.602,655
123.338,615
123.870,615
124.406,625
125.137,585
125.723,600
126.258,605
126.941,610
127.478,615
128.062,595
128.745,600
129.282,615
129.964,615
130.695,665
131.523,700
132.206,805
133.035,825
133.718,810
134.448,715
135.131,700
135.813,695
136.496,665
137.178,675
137.763,665
138.446,645
139.128,675
139.860,680
140.546,695
141.225,725
141.907,710
142.641,695
143.321,715
144.152,725
144.832,730
145.417,690
146.100,675
146.782,680
147.465,685
148.150,665
148.884,670
149.561,685
150.243,695
150.849,710
151.511,675
152.196,700
152.907,700
153.607,685
154.290,650
154.972,680
155.655,700
156.362,715
156.922,660
157.605,665
158.287,690
159.021,705
159.701,695
160.383,660
161.079,670
161.651,665
162.333,670
163.017,675
163.699,680
164.283,650
164.966,660
165.648,660
166.233,650
166.916,630
167.502,625
168.186,650
168.867,645
169.451,650
170.133,645
170.670,650
171.352,640
171.937,635
172.620,610
173.156,605
173.741,605
174.423,625
175.136,665
175.788,675
176.617,740
177.348,760
178.031,745
178.713,740
179.396,685
180.130,715
180.956,720
181.675,730
182.178,685
182.906,685
183.783,700
184.271,720
184.954,670
185.684,660
186.367,665
186.903,665
187.607,640
188.317,675
188.999,690
189.682,710
190.366,690
191.096,685
191.778,705
192.314,685
193.094,640
193.729,645
194.265,650
194.996,645
195.678,675
196.361,670
197.196,755
197.872,755
198.605,750
199.296,705
199.968,720
200.651,725
201.399,730
202.065,670
202.747,645
203.283,705
203.868,590
204.649,605
205.233,645
205.818,655
206.501,655
207.183,650
208.013,670
208.451,670
209.133,655
209.670,630
210.401,630
210.937,640
211.619,640
212.205,640
212.887,610
213.423,615
214.008,615
214.691,605
215.227,620
215.959,640
216.642,635
217.323,685
218.152,745
218.856,775
219.566,695
220.394,770
221.077,775
221.759,750
222.491,695
223.271,730
224.002,730
224.538,700
225.221,675
225.955,710
226.781,680
227.610,780
228.292,810
229.023,745
229.706,710
230.534,730
231.217,745
231.900,760
232.582,700
233.313,720
234.142,725
234.824,730
235.507,700
236.189,715
236.921,715
237.603,695
238.286,690
238.975,730
239.699,755
240.382,695
241.211,735
241.893,730
242.576,705
243.307,685
243.989,695
244.672,710
245.257,710
