Time,Resistance (Ohms),Stage
0,0.9894189338024797,Calibration (20s)
1,0.9893479744767951,Calibration (20s)
2,0.989218449782377,Calibration (20s)
3,0.9889574393244033,Calibration (20s)
4,0.9886480532129366,Calibration (20s)
5,0.98839448697341,Calibration (20s)
6,0.988028967218941,Calibration (20s)
7,0.9878145360751297,Calibration (20s)
8,0.9878358881959028,Calibration (20s)
9,0.9878140889513662,Calibration (20s)
10,0.9877654936581299,Calibration (20s)
11,0.9877557040009937,Calibration (20s)
12,0.9877419372956459,Calibration (20s)
13,0.98761136146817,Calibration (20s)
14,0.9875790744258841,Calibration (20s)
15,0.9820412348202856,Calibration (20s)
16,0.9875226897660321,Calibration (20s)
17,0.981887392868558,Calibration (20s)
18,0.9874466551934187,Calibration (20s)
19,0.9816148827011598,Calibration (20s)
20,0.9818487205851592,Normal - Watch Video (4 min)
21,0.9873145340434621,Normal - Watch Video (4 min)
22,0.9812582818891296,Normal - Watch Video (4 min)
23,0.980647730468022,Normal - Watch Video (4 min)
24,0.9847285584583964,Normal - Watch Video (4 min)
25,0.9871736037709382,Normal - Watch Video (4 min)
26,0.9880932981309396,Normal - Watch Video (4 min)
27,0.9905406182836815,Normal - Watch Video (4 min)
28,0.9880670511815982,Normal - Watch Video (4 min)
29,0.9879616084161934,Normal - Watch Video (4 min)
30,0.9878287106828583,Normal - Watch Video (4 min)
31,0.9878820203863021,Normal - Watch Video (4 min)
32,0.9879880436281718,Normal - Watch Video (4 min)
33,0.990612942513486,Normal - Watch Video (4 min)
34,0.9880670511815982,Normal - Watch Video (4 min)
35,0.9904933408289056,Normal - Watch Video (4 min)
36,0.9874774596674363,Normal - Watch Video (4 min)
37,0.9875864323572894,Normal - Watch Video (4 min)
38,0.9875864323572894,Normal - Watch Video (4 min)
39,0.9870052185304843,Normal - Watch Video (4 min)
40,0.987145662457862,Normal - Watch Video (4 min)
41,0.9872293138230068,Normal - Watch Video (4 min)
42,0.9870334108604103,Normal - Watch Video (4 min)
43,0.986691541599744,Normal - Watch Video (4 min)
44,0.9868634410760929,Normal - Watch Video (4 min)
45,0.9870896386347314,Normal - Watch Video (4 min)
46,0.9873124945315588,Normal - Watch Video (4 min)
47,0.9872848042353319,Normal - Watch Video (4 min)
48,0.987145662457862,Normal - Watch Video (4 min)
49,0.9871176740791264,Normal - Watch Video (4 min)
50,0.9872014823298022,Normal - Watch Video (4 min)
51,0.9871736037709382,Normal - Watch Video (4 min)
52,0.9903850427468359,Normal - Watch Video (4 min)
53,0.9872014823298022,Normal - Watch Video (4 min)
54,0.987145662457862,Normal - Watch Video (4 min)
55,0.9870052185304843,Normal - Watch Video (4 min)
56,0.987145662457862,Normal - Watch Video (4 min)
57,0.9870896386347314,Normal - Watch Video (4 min)
58,0.9867777345104916,Normal - Watch Video (4 min)
59,0.9866627060391407,Normal - Watch Video (4 min)
60,0.9866048623438501,Normal - Watch Video (4 min)
61,0.9869769634463459,Normal - Watch Video (4 min)
62,0.9870052185304843,Normal - Watch Video (4 min)
63,0.9904483303700534,Normal - Watch Video (4 min)
64,0.987061556124677,Normal - Watch Video (4 min)
65,0.9869769634463459,Normal - Watch Video (4 min)
66,0.9869769634463459,Normal - Watch Video (4 min)
67,0.986517681054257,Normal - Watch Video (4 min)
68,0.9864885003454855,Normal - Watch Video (4 min)
69,0.9863123022055862,Normal - Watch Video (4 min)
70,0.9865467990088161,Normal - Watch Video (4 min)
71,0.9866627060391407,Normal - Watch Video (4 min)
72,0.9866627060391407,Normal - Watch Video (4 min)
73,0.9868634410760929,Normal - Watch Video (4 min)
74,0.9867490558354193,Normal - Watch Video (4 min)
75,0.9866627060391407,Normal - Watch Video (4 min)
76,0.9867490558354193,Normal - Watch Video (4 min)
77,0.9867203300946878,Normal - Watch Video (4 min)
78,0.9867490558354193,Normal - Watch Video (4 min)
79,0.9867203300946878,Normal - Watch Video (4 min)
80,0.9866627060391407,Normal - Watch Video (4 min)
81,0.986517681054257,Normal - Watch Video (4 min)
82,0.9857100500290701,Normal - Watch Video (4 min)
83,0.9900040854561136,Normal - Watch Video (4 min)
84,0.9857100500290701,Normal - Watch Video (4 min)
85,0.9857100500290701,Normal - Watch Video (4 min)
86,0.9857100500290701,Normal - Watch Video (4 min)
87,0.9857100500290701,Normal - Watch Video (4 min)
88,0.9853999971540964,Normal - Watch Video (4 min)
89,0.9853999971540964,Normal - Watch Video (4 min)
90,0.9853372586302377,Normal - Watch Video (4 min)
91,0.9852110128434183,Normal - Watch Video (4 min)
92,0.9852426723435802,Normal - Watch Video (4 min)
93,0.9853372586302377,Normal - Watch Video (4 min)
94,0.9855247525283711,Normal - Watch Video (4 min)
95,0.9854625003496588,Normal - Watch Video (4 min)
96,0.9899424372866955,Normal - Watch Video (4 min)
97,0.9899416685475935,Normal - Watch Video (4 min)
98,0.989935047978184,Normal - Watch Video (4 min)
99,0.9898409480366726,Normal - Watch Video (4 min)
100,0.9897297318837257,Normal - Watch Video (4 min)
101,0.9897541668051835,Normal - Watch Video (4 min)
102,0.9897784919067696,Normal - Watch Video (4 min)
103,0.9897378899313392,Normal - Watch Video (4 min)
104,0.9895702655857107,Normal - Watch Video (4 min)
105,0.9893654436806752,Normal - Watch Video (4 min)
106,0.9887723536191712,Normal - Watch Video (4 min)
107,0.9885057031263569,Normal - Watch Video (4 min)
108,0.9884915677400111,Normal - Watch Video (4 min)
109,0.9884831978969306,Normal - Watch Video (4 min)
110,0.9883323916802285,Normal - Watch Video (4 min)
111,0.9880736952838375,Normal - Watch Video (4 min)
112,0.9879390561211079,Normal - Watch Video (4 min)
113,0.9880388431631192,Normal - Watch Video (4 min)
114,0.9881376575148381,Normal - Watch Video (4 min)
115,0.9881378928431347,Normal - Watch Video (4 min)
116,0.9882182103907453,Normal - Watch Video (4 min)
117,0.9882359541443047,Normal - Watch Video (4 min)
118,0.988137783023263,Normal - Watch Video (4 min)
119,0.9881459881365359,Normal - Watch Video (4 min)
120,0.9880293986541512,Normal - Watch Video (4 min)
121,0.9880298065565318,Normal - Watch Video (4 min)
122,0.9880117804090166,Normal - Watch Video (4 min)
123,0.9880569555976766,Normal - Watch Video (4 min)
124,0.988137783023263,Normal - Watch Video (4 min)
125,0.9880025398512389,Normal - Watch Video (4 min)
126,0.9880564457197009,Normal - Watch Video (4 min)
127,0.9879935973759703,Normal - Watch Video (4 min)
128,0.9879118678585805,Normal - Watch Video (4 min)
129,0.9878659945293075,Normal - Watch Video (4 min)
130,0.9877830962147114,Normal - Watch Video (4 min)
131,0.9879936601301827,Normal - Watch Video (4 min)
132,0.9880116470563153,Normal - Watch Video (4 min)
133,0.9880839791303964,Normal - Watch Video (4 min)
134,0.9880389059173317,Normal - Watch Video (4 min)
135,0.9879936679744593,Normal - Watch Video (4 min)
136,0.9880116470563153,Normal - Watch Video (4 min)
137,0.9880025398512389,Normal - Watch Video (4 min)
138,0.9880025398512389,Normal - Watch Video (4 min)
139,0.9830093754322687,Normal - Watch Video (4 min)
140,0.989660908816022,Normal - Watch Video (4 min)
141,0.9880743463587911,Normal - Watch Video (4 min)
142,0.9831176578257853,Normal - Watch Video (4 min)
143,0.989679060471962,Normal - Watch Video (4 min)
144,0.9880569555976766,Normal - Watch Video (4 min)
145,0.9880659216057749,Normal - Watch Video (4 min)
146,0.9881019503679758,Normal - Watch Video (4 min)
147,0.9880569555976766,Normal - Watch Video (4 min)
148,0.9880929529827712,Normal - Watch Video (4 min)
149,0.9881019189908697,Normal - Watch Video (4 min)
150,0.9881287464166757,Normal - Watch Video (4 min)
151,0.9878077272430831,Normal - Watch Video (4 min)
152,0.9876019797134145,Normal - Watch Video (4 min)
153,0.9877979375859469,Normal - Watch Video (4 min)
154,0.9877791819207122,Normal - Watch Video (4 min)
155,0.9876389654773545,Normal - Watch Video (4 min)
156,0.9875494309047961,Normal - Watch Video (4 min)
157,0.9875612365410061,Normal - Watch Video (4 min)
158,0.9875494309047961,Normal - Watch Video (4 min)
159,0.987538974484153,Normal - Watch Video (4 min)
160,0.9876071883130445,Normal - Watch Video (4 min)
161,0.9876338039433838,Normal - Watch Video (4 min)
162,0.9873541397957706,Normal - Watch Video (4 min)
163,0.987491296971273,Normal - Watch Video (4 min)
164,0.9875494309047961,Normal - Watch Video (4 min)
