df_hash,22ZHK4.BZ66S1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L1ZD
person_label,V10
date_time_start,2025-05-22_10-16-55.154000_+03
date_time_start_unix,1747898215.154
date_time_end,2025-05-22_10-24-39.213000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.822,75,75,0
6.454,150,75,1
7.332,225,75,2
7.917,300,75,3
9.037,375,75,4
9.497,450,75,5
10.306,525,75,6
10.891,600,75,7
11.821,675,75,8
12.402,750,75,9
13.279,825,75,10
13.887,900,75,11
14.839,975,75,12
15.428,1050,75,13
16.253,1125,75,14
16.838,1200,75,15
17.764,1275,75,16
18.349,1350,75,17
19.227,1425,75,18
19.813,1500,75,19
20.740,1575,75,20
21.323,1650,75,21
22.588,1725,75,22
22.835,1800,75,23
23.807,1875,75,24
24.302,1950,75,25
25.175,2025,75,26
25.820,2100,75,27
26.686,2175,75,28
27.271,2250,75,29
28.160,2325,75,30
28.782,2400,75,31
29.659,2475,75,32
30.269,2550,75,33
31.129,2625,75,34
31.756,2700,75,35
32.638,2775,75,36
33.218,2850,75,37
34.535,2925,75,38
34.730,3000,75,39
35.607,3075,75,40
36.241,3150,75,41
37.118,3225,75,42
37.703,3300,75,43
38.649,3375,75,44
39.166,3450,75,45
40.092,3525,75,46
40.677,3600,75,47
41.604,3675,75,48
42.143,3750,75,49
43.069,3825,75,50
43.651,3900,75,51
44.528,3975,75,52
45.500,4050,75,53
46.043,4125,75,54
46.646,4200,75,55
47.502,4275,75,56
48.087,4350,75,57
49.013,4425,75,58
49.599,4500,75,59
50.476,4575,75,60
51.061,4650,75,61
51.987,4725,75,62
52.575,4800,75,63
53.504,4875,75,64
54.035,4950,75,65
55.351,5025,75,66
55.556,5100,75,67
56.428,5175,75,68
57.057,5250,75,69
57.936,5325,75,70
58.520,5400,75,71
59.641,5475,75,72
60.039,5550,75,73
60.955,5625,75,74
61.493,5700,75,75
62.373,5775,75,76
63.005,5850,75,77
63.882,5925,75,78
64.470,6000,75,79
65.394,6075,75,80
65.979,6150,75,81
66.856,6225,75,82
67.482,6300,75,83
68.367,6375,75,84
68.952,6450,75,85
69.830,6525,75,86
70.415,6600,75,87
71.345,6675,75,88
71.927,6750,75,89
72.998,6825,75,90
73.389,6900,75,91
74.343,6975,75,92
74.931,7050,75,93
75.777,7125,75,94
76.388,7200,75,95
77.289,7275,75,96
77.874,7350,75,97
78.751,7425,75,98
79.339,7500,75,99
80.312,7575,75,100
80.847,7650,75,101
81.725,7725,75,102
82.367,7800,75,103
83.236,7875,75,104
83.824,7950,75,105
84.699,8025,75,106
85.332,8100,75,107
86.452,8175,75,108
86.796,8250,75,109
87.672,8325,75,110
88.313,8400,75,111
89.184,8475,75,112
89.769,8550,75,113
90.789,8625,75,114
91.280,8700,75,115
92.160,8775,75,116
92.839,8850,75,117
93.669,8925,75,118
94.254,9000,75,119
95.131,9075,75,120
95.716,9150,75,121
96.700,9225,75,122
97.258,9300,75,123
98.108,9375,75,124
98.715,9450,75,125
99.713,9525,75,126
100.224,9600,75,127
101.154,9675,75,128
101.713,9750,75,129
102.598,9825,75,130
103.517,9900,75,131
104.151,9975,75,132
104.687,10050,75,133
105.564,10125,75,134
106.149,10200,75,135
107.075,10275,75,136
107.709,10350,75,137
108.540,10425,75,138
109.123,10500,75,139
110.049,10575,75,140
110.634,10650,75,141
111.872,10725,75,142
112.102,10800,75,143
113.023,10875,75,144
113.608,10950,75,145
114.493,11025,75,146
115.070,11100,75,147
115.996,11175,75,148
116.582,11250,75,149
117.495,11325,75,150
118.045,11400,75,151
118.970,11475,75,152
119.579,11550,75,153
120.503,11625,75,154
121.018,11700,75,155
121.947,11775,75,156
122.540,11850,75,157
123.407,11925,75,158
124.040,12000,75,159
124.918,12075,75,160
125.504,12150,75,161
126.384,12225,75,162
127.014,12300,75,163
127.892,12375,75,164
128.767,12450,75,165
129.354,12525,75,166
130.231,12600,75,167
130.865,12675,75,168
131.450,12750,75,169
132.381,12825,75,170
132.964,12900,75,171
133.843,12975,75,172
134.424,13050,75,173
135.350,13125,75,174
135.935,13200,75,175
136.813,13275,75,176
137.398,13350,75,177
138.397,13425,75,178
138.909,13500,75,179
139.787,13575,75,180
140.420,13650,75,181
141.307,13725,75,182
141.883,13800,75,183
142.791,13875,75,184
143.350,13950,75,185
144.272,14025,75,186
144.862,14100,75,187
145.734,14175,75,188
146.328,14250,75,189
147.252,14325,75,190
147.830,14400,75,191
148.708,14475,75,192
149.297,14550,75,193
150.221,14625,75,194
150.925,14700,75,195
151.682,14775,75,196
152.267,14850,75,197
153.193,14925,75,198
153.778,15000,75,199
154.656,15075,75,200
155.384,15150,75,201
156.181,15225,75,202
156.752,15300,75,203
157.629,15375,75,204
158.238,15450,75,205
159.146,15525,75,206
159.726,15600,75,207
160.603,15675,75,208
161.237,15750,75,209
162.137,15825,75,210
162.699,15900,75,211
163.577,15975,75,212
164.211,16050,75,213
165.088,16125,75,214
165.678,16200,75,215
166.557,16275,75,216
167.214,16350,75,217
168.064,16425,75,218
168.647,16500,75,219
169.622,16575,75,220
170.158,16650,75,221
171.044,16725,75,222
171.623,16800,75,223
172.547,16875,75,224
173.151,16950,75,225
174.033,17025,75,226
174.601,17100,75,227
175.521,17175,75,228
176.110,17250,75,229
176.983,17325,75,230
177.568,17400,75,231
178.494,17475,75,232
179.128,17550,75,233
179.957,17625,75,234
180.583,17700,75,235
181.468,17775,75,236
182.343,17850,75,237
182.931,17925,75,238
183.516,18000,75,239
184.491,18075,75,240
185.027,18150,75,241
185.912,18225,75,242
186.528,18300,75,243
187.455,18375,75,244
188.001,18450,75,245
188.878,18525,75,246
189.512,18600,75,247
190.391,18675,75,248
191.023,18750,75,249
191.854,18825,75,250
192.486,18900,75,251
193.363,18975,75,252
193.948,19050,75,253
194.826,19125,75,254
195.460,19200,75,255
196.337,19275,75,256
196.953,19350,75,257
197.800,19425,75,258
198.433,19500,75,259
199.311,19575,75,260
199.896,19650,75,261
200.822,19725,75,262
201.407,19800,75,263
202.284,19875,75,264
202.869,19950,75,265
203.845,20025,75,266
204.381,20100,75,267
205.259,20175,75,268
205.879,20250,75,269
206.769,20325,75,270
207.365,20400,75,271
208.232,20475,75,272
208.817,20550,75,273
209.743,20625,75,274
210.328,20700,75,275
211.226,20775,75,276
211.792,20850,75,277
212.717,20925,75,278
213.302,21000,75,279
214.217,21075,75,280
214.813,21150,75,281
215.760,21225,75,282
216.275,21300,75,283
217.204,21375,75,284
217.787,21450,75,285
218.665,21525,75,286
219.250,21600,75,287
220.368,21675,75,288
220.761,21750,75,289
221.638,21825,75,290
222.225,21900,75,291
223.101,21975,75,292
223.756,22050,75,293
224.612,22125,75,294
225.197,22200,75,295
226.124,22275,75,296
226.715,22350,75,297
227.586,22425,75,298
228.563,22500,75,299
229.097,22575,75,300
229.732,22650,75,301
230.560,22725,75,302
231.170,22800,75,303
232.078,22875,75,304
232.656,22950,75,305
233.533,23025,75,306
234.167,23100,75,307
235.044,23175,75,308
235.630,23250,75,309
236.507,23325,75,310
237.092,23400,75,311
238.018,23475,75,312
238.603,23550,75,313
239.491,23625,75,314
240.114,23700,75,315
240.992,23775,75,316
241.577,23850,75,317
242.749,23925,75,318
243.088,24000,75,319
243.969,24075,75,320
244.551,24150,75,321
245.449,24225,75,322
246.077,24300,75,323
246.976,24375,75,324
247.529,24450,75,325
248.451,24525,75,326
249.036,24600,75,327
249.935,24675,75,328
250.546,24750,75,329
251.425,24825,75,330
252.011,24900,75,331
252.887,24975,75,332
253.570,25050,75,333
254.543,25125,75,334
254.984,25200,75,335
255.861,25275,75,336
256.447,25350,75,337
257.373,25425,75,338
258.006,25500,75,339
258.835,25575,75,340
259.441,25650,75,341
260.347,25725,75,342
260.931,25800,75,343
261.809,25875,75,344
262.394,25950,75,345
263.435,26025,75,346
263.905,26100,75,347
264.783,26175,75,348
265.416,26250,75,349
266.294,26325,75,350
266.879,26400,75,351
267.886,26475,75,352
268.441,26550,75,353
269.267,26625,75,354
269.907,26700,75,355
270.731,26775,75,356
271.412,26850,75,357
272.284,26925,75,358
272.828,27000,75,359
273.752,27075,75,360
274.340,27150,75,361
275.215,27225,75,362
275.825,27300,75,363
276.736,27375,75,364
277.311,27450,75,365
278.191,27525,75,366
278.774,27600,75,367
279.754,27675,75,368
280.285,27750,75,369
281.163,27825,75,370
281.748,27900,75,371
282.680,27975,75,372
283.259,28050,75,373
284.280,28125,75,374
284.770,28200,75,375
285.648,28275,75,376
286.242,28350,75,377
287.254,28425,75,378
287.744,28500,75,379
288.647,28575,75,380
289.206,28650,75,381
290.084,28725,75,382
290.718,28800,75,383
291.596,28875,75,384
292.180,28950,75,385
293.108,29025,75,386
293.691,29100,75,387
294.569,29175,75,388
295.163,29250,75,389
296.418,29325,75,390
296.760,29400,75,391
297.543,29475,75,392
298.134,29550,75,393
299.006,29625,75,394
299.641,29700,75,395
300.517,29775,75,396
301.150,29850,75,397
301.979,29925,75,398
302.614,30000,75,399
303.490,30075,75,400
304.075,30150,75,401
305.008,30225,75,402
305.733,30300,75,403
306.615,30375,75,404
307.051,30450,75,405
307.926,30525,75,406
308.706,30600,75,407
309.438,30675,75,408
310.122,30750,75,409
310.900,30825,75,410
311.630,30900,75,411
312.411,30975,75,412
312.996,31050,75,413
313.924,31125,75,414
314.508,31200,75,415
315.406,31275,75,416
315.981,31350,75,417
