df_hash,22ZHK4.BZ66S1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L1ZD
person_label,V10
date_time_start,2025-05-22_10-16-55.154000_+03
date_time_start_unix,1747898215.154
date_time_end,2025-05-22_10-24-39.213000_+03
length_difference_noticed,no

time,battery
9.669,42
19.715,42
29.722,41
39.741,41
49.693,41
59.687,41
69.779,41
79.773,41
89.766,41
99.810,41
109.706,41
119.698,41
129.693,41
139.686,41
149.690,41
159.675,41
169.668,41
179.759,41
189.656,41
199.649,41
209.696,41
219.696,40
229.728,40
239.674,40
249.667,40
259.661,40
269.655,40
279.749,40
289.643,40
299.783,40
309.679,40
319.722,40
329.666,40
339.660,40
349.654,40
359.648,40
369.749,40
379.686,40
389.630,40
399.623,40
409.666,40
419.662,40
429.753,40
439.650,39
449.641,39
