df_hash,22ZHK4.BZ66S1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L1ZD
person_label,V10
date_time_start,2025-05-22_10-16-55.154000_+03
date_time_start_unix,1747898215.154
date_time_end,2025-05-22_10-24-39.213000_+03
length_difference_noticed,no

time,ppg_ir,ppg_ambient,ppg_red
5.629,188212,186,143328
5.634,188225,220,143331
5.639,188235,189,143327
5.644,188196,218,143317
5.649,188188,185,143303
5.654,188154,218,143271
5.658,188116,186,143261
5.663,188091,218,143238
5.668,188038,186,143211
5.673,187970,217,143181
5.678,187940,187,143156
5.683,187884,218,143134
5.688,187808,189,143104
5.693,187758,219,143062
5.698,187720,190,143050
5.703,187663,219,143029
5.708,187622,192,143001
5.713,187576,218,142992
5.718,187550,192,142974
5.723,187528,218,142962
5.728,187497,189,142940
5.733,187464,213,142939
5.738,187418,192,142906
5.743,187415,214,142907
5.748,187377,192,142887
5.753,187383,214,142894
5.758,187370,193,142904
5.763,187347,214,142895
5.768,187357,194,142887
5.773,187335,213,142884
5.778,187330,194,142878
5.783,187325,209,142871
5.787,187298,194,142869
5.792,187291,210,142861
5.797,187283,195,142874
5.802,187248,210,142861
5.807,187262,197,142865
5.812,187249,210,142854
5.817,187239,197,142858
5.822,187220,210,142850
5.827,187220,194,142857
5.832,187223,208,142863
5.837,187200,195,142861
5.842,187198,206,142876
5.847,187220,197,142887
5.852,187226,206,142889
5.857,187233,198,142898
5.862,187249,207,142890
5.867,187243,196,142913
5.872,187236,202,142905
5.877,187242,197,142906
5.882,187249,205,142910
5.887,187257,200,142910
5.892,187254,203,142913
5.897,187251,201,142911
5.902,187251,203,142918
5.907,187247,202,142932
5.911,187236,202,142940
5.916,187249,202,142933
5.921,187245,202,142935
5.926,187251,203,142939
5.931,187240,199,142930
5.936,187250,201,142940
5.941,187248,199,142947
5.946,187249,202,142939
5.951,187244,197,142940
5.956,187233,203,142948
5.961,187257,197,142942
5.966,187246,203,142949
5.971,187264,196,142967
5.976,187274,203,142956
5.981,187277,197,142955
5.986,187271,206,142965
5.991,187292,196,142976
5.996,187298,206,142987
6.001,187296,195,142993
6.006,187306,207,143002
6.011,187337,195,143008
6.016,187330,208,143021
6.021,187339,194,143016
6.026,187352,207,143020
6.031,187369,195,143037
6.036,187376,212,143044
6.040,187372,195,143043
6.045,187400,212,143059
6.050,187406,194,143058
6.055,187423,213,143069
6.060,187416,194,143079
6.065,187437,215,143086
6.070,187445,190,143098
6.075,187483,212,143100
6.080,187486,189,143112
6.085,187468,211,143126
6.090,187507,189,143102
6.095,187506,212,143107
6.100,187511,189,143116
6.105,187519,213,143128
6.110,187525,189,143136
6.115,187549,214,143144
6.120,187558,188,143159
6.125,187561,218,143146
6.130,187590,191,143158
