df_hash,22ZHK4.88EAKA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.DTCA
person_label,V13
date_time_start,2025-05-22_10-55-11.049000_+03
date_time_start_unix,1747900511.049
date_time_end,2025-05-22_11-00-22.404000_+03
length_difference_noticed,no

time,battery
13.557,37
23.498,37
33.541,37
43.631,37
53.528,37
63.522,37
73.669,37
83.510,37
93.537,37
103.497,37
113.529,37
123.631,37
133.674,37
143.523,37
153.515,37
163.508,37
173.503,37
183.594,37
193.490,37
203.484,37
213.483,37
223.520,37
233.515,37
243.508,37
253.502,37
263.497,37
273.490,37
283.484,37
293.526,37
303.569,36
