df_hash,22ZHK4.88EAKA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.DTCA
person_label,V13
date_time_start,2025-05-22_10-55-11.049000_+03
date_time_start_unix,1747900511.049
date_time_end,2025-05-22_11-00-22.404000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
5.804,210,74,2
6.214,284,74,3
6.438,358,74,4
6.879,432,74,5
7.267,506,74,6
7.559,580,74,7
7.952,654,74,8
8.242,728,74,9
8.680,802,74,10
9.070,876,74,11
9.363,950,74,12
9.753,1024,74,13
10.192,1098,74,14
10.484,1172,74,15
10.728,1225,53,16
11.020,1283,58,17
11.316,1325,42,18
11.557,1372,47,19
11.703,1417,45,20
12.143,1485,68,21
12.483,1559,74,22
12.873,1633,74,23
13.214,1707,74,24
13.507,1781,74,25
13.954,1855,74,26
14.238,1929,74,27
14.629,2003,74,28
15.067,2077,74,29
15.311,2151,74,30
15.754,2225,74,31
16.139,2299,74,32
16.435,2373,74,33
16.919,2447,74,34
17.260,2521,74,35
17.553,2595,74,36
17.992,2669,74,37
18.238,2743,74,38
18.728,2817,74,39
19.064,2891,74,40
19.358,2965,74,41
19.796,3039,74,42
20.185,3113,74,43
20.480,3187,74,44
20.870,3261,74,45
21.335,3335,74,46
21.599,3409,74,47
21.989,3483,74,48
22.428,3557,74,49
22.673,3631,74,50
23.112,3703,72,51
23.449,3773,70,52
23.843,3845,72,53
24.134,3919,74,54
24.527,3991,72,55
24.914,4065,74,56
25.208,4139,74,57
25.645,4213,74,58
26.036,4287,74,59
26.279,4360,73,60
26.726,4434,74,61
27.010,4508,74,62
27.403,4582,74,63
27.839,4655,73,64
28.132,4729,74,65
28.522,4803,74,66
28.967,4877,74,67
29.253,4951,74,68
29.643,5025,74,69
30.034,5099,74,70
30.327,5173,74,71
30.725,5247,74,72
31.008,5316,69,73
31.523,5390,74,74
31.837,5464,74,75
32.129,5538,74,76
32.568,5612,74,77
32.958,5686,74,78
33.252,5760,74,79
33.645,5834,74,80
34.031,5908,74,81
34.372,5982,74,82
34.762,6055,73,83
35.347,6129,74,84
35.450,6203,74,85
35.883,6277,74,86
36.224,6351,74,87
36.566,6425,74,88
37.004,6499,74,89
37.249,6573,74,90
37.983,6647,74,91
38.318,6721,74,92
38.561,6795,74,93
38.808,6869,74,94
39.053,6943,74,95
39.490,7017,74,96
39.884,7091,74,97
40.269,7165,74,98
40.612,7239,74,99
41.003,7313,74,100
41.294,7387,74,101
41.685,7461,74,102
42.123,7535,74,103
42.419,7609,74,104
42.806,7683,74,105
43.248,7757,74,106
43.540,7831,74,107
43.976,7905,74,108
44.318,7979,74,109
44.610,8053,74,110
45.048,8127,74,111
45.343,8201,74,112
45.779,8275,74,113
46.169,8349,74,114
46.413,8423,74,115
46.852,8497,74,116
47.293,8571,74,117
47.583,8645,74,118
47.973,8719,74,119
48.363,8793,74,120
48.658,8867,74,121
49.094,8941,74,122
49.338,9015,74,123
49.786,9089,74,124
