df_hash,22ZHK4.FHJ395
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JXQ5
person_label,V16
date_time_start,2025-05-23_09-42-38.064000_+03
date_time_start_unix,1747982558.064
date_time_end,2025-05-23_09-51-23.087000_+03
length_difference_noticed,no

time,heart_rate
15.484,78
16.362,75
17.581,72
18.458,72
19.339,72
20.554,72
21.434,72
22.504,72
23.528,71
24.503,70
25.305,69
26.502,69
27.382,69
28.312,69
29.481,69
30.697,70
31.296,70
32.449,70
33.329,70
34.253,71
35.428,71
36.372,71
37.279,71
38.402,71
39.327,71
40.201,71
41.420,70
42.297,70
43.247,69
44.345,69
45.274,69
46.152,69
47.367,69
48.245,69
49.146,68
50.390,68
51.563,68
52.145,68
53.363,68
54.192,68
55.070,68
56.288,68
57.169,68
58.101,69
59.262,69
60.585,70
61.066,71
62.386,71
63.412,72
64.043,73
65.310,73
66.087,72
67.014,71
68.579,70
69.113,69
70.134,69
71.157,70
72.108,72
73.010,73
74.234,73
75.081,73
75.983,72
77.154,72
78.031,72
78.909,72
80.127,71
81.030,71
81.884,71
83.101,71
84.039,71
84.953,71
86.075,71
86.975,71
87.830,71
89.048,70
89.926,70
90.852,70
92.027,70
92.949,70
93.875,70
95.114,70
95.874,70
96.801,70
97.990,71
98.847,71
99.775,72
100.946,73
101.835,73
103.091,72
103.917,71
104.892,71
106.014,71
106.895,71
108.113,71
108.695,71
109.914,71
110.792,72
111.669,72
112.891,71
114.060,71
114.642,70
115.882,70
116.982,70
117.626,70
118.836,71
119.723,71
120.688,71
121.809,71
122.686,72
123.613,73
124.814,72
125.660,71
126.586,71
127.758,70
128.687,70
129.856,71
130.732,72
131.657,73
132.559,74
133.734,74
134.927,74
135.754,74
136.783,74
137.704,74
138.481,74
139.651,74
140.578,74
141.504,74
142.674,74
143.551,74
144.478,74
145.659,74
146.574,75
147.411,75
148.624,75
149.500,75
150.425,74
151.615,74
152.473,74
153.399,74
154.569,74
155.447,74
156.373,74
157.544,74
158.420,74
159.347,74
160.517,73
161.399,72
162.345,71
163.490,71
164.466,71
165.298,71
166.466,71
167.407,71
168.321,71
169.438,71
170.364,71
171.242,70
172.422,70
173.341,70
174.215,70
175.443,71
176.360,71
177.191,71
178.445,71
179.296,71
180.163,71
181.382,71
182.259,70
183.186,70
184.406,70
185.233,70
186.114,71
187.339,71
188.356,72
189.182,73
190.352,73
191.473,73
192.169,73
193.346,72
194.154,72
195.081,73
196.299,73
197.274,73
198.108,73
199.224,74
200.151,74
201.028,74
202.203,74
203.125,74
204.007,73
205.182,72
206.098,72
206.976,72
208.539,72
209.072,72
209.979,72
211.123,72
212.052,72
212.923,73
214.142,73
215.020,74
215.897,74
217.116,74
218.096,74
218.871,74
220.090,73
220.977,72
221.862,71
223.065,71
223.996,71
224.819,71
226.086,71
226.963,71
227.841,71
229.116,71
229.937,71
230.815,72
231.985,72
233.106,72
233.797,72
234.982,71
235.836,71
236.786,71
237.963,71
238.863,71
239.761,71
240.906,71
241.832,71
242.748,71
243.880,71
244.829,71
245.685,72
246.854,73
248.075,74
248.904,74
249.876,74
250.754,74
251.631,74
252.850,74
253.821,74
254.605,74
255.872,74
256.750,74
257.678,74
258.992,74
259.699,74
260.601,74
262.213,74
262.649,79
263.579,81
264.751,80
265.622,79
266.602,78
267.719,77
268.596,77
269.523,78
270.692,78
271.619,78
272.496,77
273.666,77
274.593,76
275.470,76
276.681,75
277.566,74
278.444,73
279.618,72
280.540,71
281.417,71
283.029,71
283.514,72
284.391,73
285.592,74
286.488,75
287.366,75
288.584,74
289.461,74
290.339,73
291.560,72
292.435,71
293.337,70
294.531,70
295.409,70
296.286,71
297.505,71
298.386,71
299.555,71
300.479,71
301.652,71
302.283,71
303.506,71
304.405,71
305.256,71
306.472,71
307.304,71
308.236,71
309.400,71
310.289,72
311.204,73
312.374,74
313.300,74
314.523,74
315.348,74
316.286,74
317.157,74
318.420,74
319.299,74
320.174,74
321.300,74
322.222,74
323.103,74
324.318,74
325.195,75
326.126,75
327.295,76
328.169,76
329.047,75
330.266,74
331.144,73
332.020,72
333.240,72
334.123,72
334.994,72
336.215,72
337.091,71
337.968,71
339.212,71
340.064,71
341.065,72
342.166,73
343.038,73
344.023,72
345.134,72
346.017,73
346.938,73
348.111,73
349.036,73
349.912,73
351.082,72
352.016,73
352.898,73
354.057,74
354.982,74
355.908,74
357.328,74
357.956,74
358.835,74
360.057,74
360.929,74
361.836,74
363.026,74
363.913,74
364.781,74
366.098,73
366.877,72
367.803,72
368.973,72
369.851,73
371.073,74
371.947,75
372.842,75
373.751,74
375.127,74
375.798,73
376.724,73
377.896,74
378.921,74
379.705,75
380.870,75
381.749,75
382.672,75
383.864,75
385.064,75
385.646,75
386.869,75
388.086,75
388.657,75
389.790,75
390.718,75
391.596,75
392.813,74
393.690,74
394.567,74
395.981,74
396.668,74
397.836,74
398.762,74
399.637,74
400.515,74
401.733,74
402.611,74
403.555,74
404.711,74
405.648,74
406.462,74
407.681,74
408.559,74
409.485,74
410.676,74
411.541,74
412.458,74
413.732,74
414.801,75
415.432,76
416.651,77
417.480,77
418.411,76
419.598,75
420.454,74
421.429,74
422.577,74
423.528,74
424.376,74
425.555,75
426.453,76
427.328,77
428.497,77
429.424,75
