df_hash,22ZHK4.FHJ395
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JXQ5
person_label,V16
date_time_start,2025-05-23_09-42-38.064000_+03
date_time_start_unix,1747982558.064
date_time_end,2025-05-23_09-51-23.087000_+03
length_difference_noticed,no

time,respiration_rate
52.140,25
56.520,24
60.720,24
64.870,24
69.250,24
73.360,24
77.560,24
81.860,24
86.090,24
90.470,24
94.780,24
98.920,24
107.380,25
111.600,24
115.890,24
120.090,24
124.270,24
128.520,24
132.590,24
136.680,24
140.740,24
144.790,24
148.860,24
152.930,24
157.010,24
161.260,24
165.540,8
169.810,8
174.080,8
178.340,8
182.610,8
186.810,8
190.950,8
195.110,7
199.170,7
203.360,8
207.520,8
211.730,8
215.790,8
219.960,8
224.200,8
228.440,8
232.630,8
236.830,8
241.000,8
245.170,8
249.260,8
253.370,8
258.270,8
262.580,8
266.620,8
271.200,8
275.240,8
279.470,8
312.900,13
317.040,13
337.680,20
341.830,20
346.040,19
350.170,8
354.290,8
358.400,8
362.470,8
366.620,8
370.770,8
374.850,8
378.930,8
382.990,8
387.020,9
391.030,9
395.190,10
399.260,11
403.330,10
407.480,12
411.520,12
415.580,12
420.350,12
424.460,15
429.120,17
433.560,17
437.640,17
490.650,22
494.670,24
