df_hash,22ZHK4.FHJ395
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JXQ5
person_label,V16
date_time_start,2025-05-23_09-42-38.064000_+03
date_time_start_unix,1747982558.064
date_time_end,2025-05-23_09-51-23.087000_+03
length_difference_noticed,no

time,rr_int
10.220,4205
11.731,620
12.414,1465
13.391,820
14.119,860
14.948,800
15.777,845
16.606,820
17.434,865
18.337,850
19.162,825
20.116,855
20.896,865
21.764,815
22.846,870
23.727,905
24.416,925
25.283,880
26.064,855
26.892,870
27.867,835
28.696,870
29.537,850
30.354,835
31.253,880
32.011,850
32.888,865
33.743,805
34.597,840
35.374,850
36.252,865
37.032,845
37.863,865
38.836,835
39.665,885
40.529,855
41.468,890
42.348,910
43.131,850
44.004,850
44.832,870
45.811,880
46.636,905
47.659,920
48.488,890
49.273,925
50.244,865
51.072,890
52.047,935
52.876,900
53.705,850
54.680,895
55.512,900
56.386,895
57.219,845
58.044,835
58.872,820
59.701,840
60.627,875
61.395,825
62.187,790
63.113,820
63.845,855
64.725,830
65.551,860
66.575,925
67.475,915
68.183,860
69.012,845
69.841,830
70.621,795
71.408,780
72.181,815
73.058,850
74.036,870
74.716,820
75.545,820
76.373,870
77.203,855
78.178,840
79.006,865
79.932,865
80.663,835
81.492,875
82.370,860
83.198,835
84.083,835
84.905,845
85.685,865
86.660,845
87.489,875
88.318,890
89.149,875
90.129,860
90.950,880
91.827,865
92.638,860
93.485,875
94.317,870
95.192,840
95.971,815
96.813,840
97.677,825
98.459,850
99.286,815
100.218,795
101.000,855
101.821,880
102.650,865
103.674,845
104.454,870
105.286,855
106.197,825
106.794,845
107.720,825
108.500,830
109.329,845
110.157,825
111.132,835
112.010,885
112.839,870
113.622,850
114.447,880
115.276,860
116.202,830
116.990,860
117.818,835
118.641,815
119.469,835
120.346,855
121.130,840
121.973,820
122.784,795
123.661,835
124.587,885
125.416,905
126.294,865
127.122,845
127.810,835
128.634,810
129.463,805
130.389,795
131.028,795
131.900,815
132.681,850
133.537,840
134.377,825
135.166,835
136.044,810
136.686,785
137.555,800
138.384,825
139.224,830
140.041,800
140.974,810
141.553,820
142.381,790
143.214,805
144.039,820
144.797,810
145.599,805
146.428,790
147.256,820
148.085,840
148.914,815
149.743,835
150.479,820
151.303,790
152.132,815
152.960,815
153.645,795
154.472,815
155.300,835
156.178,800
156.958,830
157.835,840
158.713,825
159.493,885
160.322,870
161.297,830
162.129,870
162.954,870
163.783,830
164.612,850
165.449,865
166.269,830
167.147,850
167.993,870
168.869,865
169.782,850
170.608,875
171.437,855
172.265,855
173.095,855
173.923,825
174.752,845
175.580,850
176.459,820
177.293,865
178.115,880
178.944,840
179.968,870
180.748,870
181.577,850
182.454,840
183.234,860
184.088,855
184.892,830
185.779,825
186.598,830
187.281,825
188.158,805
188.938,830
189.816,835
190.596,845
191.487,830
192.311,820
193.184,840
193.960,835
194.788,835
195.617,805
196.459,830
197.286,830
198.006,820
198.883,785
199.663,825
200.541,835
201.322,835
202.149,850
202.996,840
203.807,805
204.636,845
205.465,845
206.296,820
207.171,840
208.000,860
208.831,825
209.706,855
210.486,855
211.320,825
211.997,810
212.826,815
213.655,805
214.532,800
215.452,820
216.047,815
216.872,810
217.847,850
218.676,860
219.505,845
220.383,860
221.211,855
221.997,810
222.876,845
223.746,860
224.530,865
225.403,845
226.187,860
227.012,850
227.890,825
228.670,815
229.500,835
230.327,840
231.206,840
232.033,860
232.867,855
233.691,825
234.520,835
235.397,850
236.275,835
237.057,810
237.904,835
238.761,850
239.541,825
240.370,845
241.198,860
242.028,830
242.856,835
243.685,845
244.417,805
245.249,810
246.105,825
246.902,810
247.753,805
248.560,835
249.389,860
250.217,840
250.950,795
251.778,815
252.606,805
253.435,790
254.312,810
255.092,835
256.604,890
257.581,1565
258.214,795
259.090,745
259.550,720
260.212,675
260.991,655
261.785,730
262.454,780
263.282,805
264.164,815
264.948,835
265.672,800
266.501,775
267.182,760
268.011,750
268.694,760
269.549,765
270.258,780
271.082,800
272.061,775
272.744,825
273.422,820
274.251,815
275.080,830
275.958,825
276.792,825
277.761,870
278.590,880
279.469,865
280.334,835
281.076,830
281.759,810
282.588,795
283.416,800
284.148,790
284.976,795
285.808,820
286.634,825
287.463,820
288.342,845
289.217,855
289.949,870
291.021,865
291.758,870
292.610,860
293.459,840
294.334,840
295.120,825
295.947,865
296.774,855
297.603,880
298.436,845
299.271,855
300.093,830
300.975,820
301.795,845
302.798,825
303.453,850
304.281,870
305.305,845
306.085,860
306.768,850
307.596,815
308.425,825
309.305,810
310.131,815
310.814,815
311.643,800
312.471,825
313.349,835
314.129,820
314.958,840
315.835,820
316.671,815
317.496,835
318.322,820
319.201,845
319.979,820
320.662,840
321.499,820
322.417,815
323.203,805
323.879,780
324.708,785
325.390,785
326.236,795
327.097,835
328.028,820
328.754,850
329.583,845
330.412,825
331.240,840
332.069,805
332.898,835
334.573,845
335.433,1725
336.408,850
337.240,865
338.067,870
338.748,835
339.589,785
340.406,800
341.244,835
342.063,865
342.892,855
343.720,820
344.598,835
345.428,810
346.302,815
347.117,830
347.918,825
348.742,845
349.571,850
350.302,825
351.136,825
351.959,810
352.827,815
353.617,810
354.446,815
355.128,825
355.957,820
357.201,840
357.663,805
