df_hash,22ZHK4.U9L6MD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GEJP
person_label,V17-2
date_time_start,2025-05-23_10-04-38.748000_+03
date_time_start_unix,1747983878.748
date_time_end,2025-05-23_10-13-21.900000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.359,75,75,0
5.943,150,75,1
6.820,225,75,2
7.405,300,75,3
8.284,375,75,4
8.917,450,75,5
9.794,525,75,6
10.379,600,75,7
11.305,675,75,8
11.891,750,75,9
12.768,825,75,10
13.379,900,75,11
14.279,975,75,12
14.864,1050,75,13
15.790,1125,75,14
16.327,1200,75,15
17.275,1275,75,16
17.838,1350,75,17
18.715,1425,75,18
19.306,1500,75,19
20.227,1575,75,20
20.812,1650,75,21
21.691,1725,75,22
22.275,1800,75,23
23.222,1875,75,24
23.786,1950,75,25
24.760,2025,75,26
25.297,2100,75,27
26.174,2175,75,28
26.759,2250,75,29
27.666,2325,75,30
28.270,2400,75,31
29.148,2475,75,32
29.744,2550,75,33
30.627,2625,75,34
31.244,2700,75,35
32.145,2775,75,36
32.708,2850,75,37
33.660,2925,75,38
34.240,3000,75,39
35.096,3075,75,40
36.121,3150,75,41
36.607,3225,75,42
37.192,3300,75,43
38.069,3375,75,44
38.655,3450,75,45
39.581,3525,75,46
40.191,3600,75,47
41.043,3675,75,48
41.683,3750,75,49
42.554,3825,75,50
43.141,3900,75,51
44.066,3975,75,52
44.651,4050,75,53
45.528,4125,75,54
46.113,4200,75,55
47.039,4275,75,56
47.624,4350,75,57
48.744,4425,75,58
49.087,4500,75,59
50.013,4575,75,60
50.633,4650,75,61
51.476,4725,75,62
52.060,4800,75,63
52.988,4875,75,64
53.572,4950,75,65
54.498,5025,75,66
55.034,5100,75,67
55.961,5175,75,68
56.599,5250,75,69
57.423,5325,75,70
58.008,5400,75,71
58.934,5475,75,72
59.519,5550,75,73
60.397,5625,75,74
61.031,5700,75,75
61.908,5775,75,76
