df_hash,22ZHK4.CSFR2S
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1ZQF
person_label,v129
date_time_start,2026-04-07_17-41-22.154000_+03
date_time_start_unix,1775565682.154
date_time_end,2026-04-07_17-49-40.004000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
5.621,211,74,2
6.028,285,74,3
6.307,359,74,4
6.742,433,74,5
7.132,504,71,6
7.425,578,74,7
7.863,652,74,8
8.108,726,74,9
8.546,800,74,10
8.937,874,74,11
9.228,948,74,12
9.668,1022,74,13
10.057,1096,74,14
10.350,1170,74,15
10.741,1243,73,16
11.180,1317,74,17
11.471,1391,74,18
11.861,1465,74,19
12.204,1539,74,20
12.687,1613,74,21
12.983,1687,74,22
13.275,1761,74,23
13.665,1835,74,24
14.106,1909,74,25
14.369,1983,74,26
14.786,2057,74,27
15.274,2131,74,28
15.469,2205,74,29
15.909,2279,74,30
16.297,2353,74,31
16.590,2427,74,32
17.041,2501,74,33
17.273,2575,74,34
17.712,2649,74,35
18.103,2723,74,36
18.394,2797,74,37
18.833,2871,74,38
19.223,2945,74,39
19.515,3019,74,40
19.905,3093,74,41
20.344,3167,74,42
20.638,3241,74,43
21.073,3315,74,44
21.467,3389,74,45
21.709,3463,74,46
22.148,3536,73,47
22.442,3610,74,48
22.830,3684,74,49
23.269,3758,74,50
23.561,3832,74,51
23.958,3906,74,52
24.391,3980,74,53
24.635,4054,74,54
25.073,4128,74,55
25.463,4202,74,56
25.755,4276,74,57
26.194,4350,74,58
26.438,4424,74,59
26.877,4498,74,60
27.315,4572,74,61
27.562,4646,74,62
27.998,4720,74,63
28.388,4794,74,64
28.680,4868,74,65
29.122,4942,74,66
29.510,5016,74,67
29.804,5090,74,68
30.240,5164,74,69
30.632,5238,74,70
30.923,5312,74,71
31.337,5386,74,72
31.606,5460,74,73
31.996,5534,74,74
32.435,5608,74,75
32.727,5682,74,76
33.117,5756,74,77
33.555,5830,74,78
33.848,5904,74,79
34.238,5978,74,80
34.921,6052,74,81
34.942,6126,74,82
35.365,6200,74,83
35.749,6274,74,84
36.041,6348,74,85
36.480,6422,74,86
36.724,6496,74,87
37.166,6570,74,88
37.563,6644,74,89
37.849,6717,73,90
38.284,6791,74,91
38.674,6865,74,92
38.967,6938,73,93
39.423,7012,74,94
39.796,7085,73,95
40.088,7155,70,96
40.332,7218,63,97
40.786,7287,69,98
41.063,7360,73,99
41.453,7434,74,100
41.892,7507,73,101
42.184,7581,74,102
42.625,7654,73,103
42.891,7728,74,104
43.257,7802,74,105
43.696,7876,74,106
43.988,7950,74,107
44.378,8024,74,108
44.817,8098,74,109
45.060,8172,74,110
45.499,8246,74,111
45.890,8320,74,112
46.182,8394,74,113
47.008,8468,74,114
47.058,8542,74,115
47.338,8616,74,116
47.716,8690,74,117
47.986,8764,74,118
48.427,8838,74,119
48.819,8912,74,120
49.108,8986,74,121
49.546,9060,74,122
49.936,9134,74,123
50.229,9208,74,124
50.620,9282,74,125
51.059,9356,74,126
51.349,9430,74,127
51.740,9504,74,128
52.178,9578,74,129
52.423,9652,74,130
52.862,9726,74,131
53.345,9800,74,132
53.641,9872,72,133
53.982,9946,74,134
54.231,10020,74,135
54.664,10094,74,136
55.103,10168,74,137
55.347,10242,74,138
55.786,10316,74,139
56.177,10390,74,140
56.468,10464,74,141
56.908,10538,74,142
57.151,10612,74,143
57.594,10686,74,144
57.982,10760,74,145
58.272,10834,74,146
58.711,10908,74,147
59.102,10982,74,148
59.398,11056,74,149
59.784,11130,74,150
60.222,11204,74,151
60.514,11278,74,152
60.906,11352,74,153
61.343,11426,74,154
61.587,11500,74,155
62.029,11574,74,156
62.318,11648,74,157
62.709,11722,74,158
63.147,11794,72,159
63.391,11868,74,160
63.830,11942,74,161
64.317,12016,74,162
64.515,12090,74,163
64.951,12164,74,164
65.341,12238,74,165
65.634,12312,74,166
66.073,12386,74,167
66.413,12460,74,168
66.755,12534,74,169
67.152,12608,74,170
67.437,12682,74,171
67.876,12756,74,172
68.271,12829,73,173
68.560,12903,74,174
68.949,12973,70,175
69.387,13046,73,176
69.683,13118,72,177
70.072,13192,74,178
70.752,13266,74,179
70.791,13339,73,180
71.191,13412,73,181
71.874,13486,74,182
71.951,13560,74,183
72.361,13634,74,184
72.605,13708,74,185
73.018,13782,74,186
73.287,13856,74,187
73.872,13930,74,188
74.116,14004,74,189
74.409,14078,74,190
74.799,14152,74,191
75.384,14226,74,192
75.482,14300,74,193
75.920,14374,74,194
76.212,14448,74,195
76.603,14522,74,196
77.042,14596,74,197
77.285,14670,74,198
77.724,14744,74,199
78.115,14818,74,200
78.406,14892,74,201
78.845,14966,74,202
79.242,15040,74,203
79.528,15114,74,204
79.921,15188,74,205
80.357,15262,74,206
80.649,15336,74,207
81.044,15410,74,208
81.339,15484,74,209
81.770,15558,74,210
82.160,15632,74,211
82.453,15706,74,212
82.843,15780,74,213
83.379,15854,74,214
83.574,15928,74,215
84.010,16002,74,216
84.404,16076,74,217
84.647,16150,74,218
85.085,16224,74,219
85.486,16297,73,220
85.769,16371,74,221
86.215,16445,74,222
86.499,16519,74,223
86.889,16593,74,224
87.330,16667,74,225
87.572,16741,74,226
88.010,16815,74,227
88.402,16889,74,228
88.693,16963,74,229
89.086,17037,74,230
89.570,17111,74,231
89.814,17185,74,232
90.210,17259,74,233
90.645,17333,74,234
90.886,17407,74,235
91.325,17481,74,236
91.618,17555,74,237
92.008,17629,74,238
92.447,17703,74,239
92.690,17777,74,240
93.132,17851,74,241
93.568,17925,74,242
93.940,17999,74,243
94.254,18073,74,244
94.644,18147,74,245
94.933,18221,74,246
95.372,18295,74,247
95.762,18369,74,248
96.054,18443,74,249
96.444,18517,74,250
96.737,18591,74,251
97.175,18665,74,252
97.565,18739,74,253
97.859,18813,74,254
98.248,18887,74,255
98.687,18961,74,256
98.979,19035,74,257
99.370,19109,74,258
99.811,19183,74,259
100.098,19257,74,260
100.491,19331,74,261
100.929,19405,74,262
101.175,19479,74,263
101.612,19553,74,264
101.904,19627,74,265
102.298,19701,74,266
102.733,19775,74,267
102.977,19849,74,268
103.433,19923,74,269
103.900,19997,74,270
104.098,20071,74,271
104.538,20145,74,272
104.931,20219,74,273
105.219,20293,74,274
105.658,20367,74,275
106.048,20441,74,276
106.389,20515,74,277
106.730,20589,74,278
107.024,20663,74,279
107.463,20737,74,280
107.852,20811,74,281
108.144,20885,74,282
108.534,20959,74,283
108.974,21033,74,284
109.266,21107,74,285
109.656,21181,74,286
110.095,21255,74,287
110.338,21329,74,288
110.780,21403,74,289
111.219,21477,74,290
111.461,21551,74,291
111.898,21625,74,292
112.142,21699,74,293
112.624,21773,74,294
113.020,21847,74,295
113.272,21921,74,296
113.702,21985,64,297
113.946,22047,62,298
114.384,22120,73,299
114.677,22194,74,300
115.359,22268,74,301
115.388,22342,74,302
115.804,22416,74,303
116.188,22490,74,304
116.481,22564,74,305
116.871,22638,74,306
117.358,22712,74,307
117.605,22786,74,308
117.992,22859,73,309
118.284,22929,70,310
118.682,23001,72,311
119.165,23075,74,312
119.406,23149,74,313
119.796,23221,72,314
120.092,23295,74,315
120.479,23369,74,316
120.923,23443,74,317
121.213,23517,74,318
121.600,23591,74,319
122.038,23665,74,320
122.282,23739,74,321
122.721,23813,74,322
123.160,23887,74,323
123.403,23961,74,324
123.848,24035,74,325
124.236,24109,74,326
124.525,24183,74,327
124.963,24257,74,328
125.211,24331,74,329
125.647,24405,74,330
126.038,24479,74,331
126.330,24553,74,332
126.767,24627,74,333
127.157,24701,74,334
127.452,24775,74,335
127.844,24849,74,336
128.278,24923,74,337
128.571,24997,74,338
128.961,25071,74,339
129.449,25145,74,340
129.692,25219,74,341
130.231,25291,72,342
130.375,25365,74,343
130.765,25439,74,344
131.203,25513,74,345
131.496,25587,74,346
131.887,25660,73,347
132.325,25734,74,348
132.569,25808,74,349
133.008,25882,74,350
133.301,25956,74,351
133.697,26030,74,352
134.373,26104,74,353
134.402,26178,74,354
134.665,26232,54,355
134.958,26283,51,356
135.104,26319,36,357
135.347,26351,32,358
135.526,26383,32,359
135.641,26415,32,360
135.786,26453,38,361
