df_hash,22ZHK4.Z5RDGQ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.F750
person_label,V82(2)
date_time_start,2025-11-03_16-41-10.212000_+03
date_time_start_unix,1762173670.212
date_time_end,2025-11-03_16-49-55.970000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
5.719,215,74,2
6.079,289,74,3
6.353,361,72,4
6.792,435,74,5
7.231,509,74,6
7.474,583,74,7
7.919,657,74,8
8.303,731,74,9
8.983,805,74,10
9.131,879,74,11
9.424,953,74,12
9.717,1027,74,13
10.106,1101,74,14
10.399,1173,72,15
10.837,1247,74,16
11.227,1319,72,17
11.519,1393,74,18
11.909,1467,74,19
12.348,1541,74,20
12.643,1615,74,21
13.031,1689,74,22
13.323,1763,74,23
13.713,1837,74,24
14.151,1911,74,25
14.443,1985,74,26
14.833,2059,74,27
15.321,2133,74,28
15.564,2207,74,29
15.954,2281,74,30
16.393,2355,74,31
16.637,2429,74,32
17.124,2503,74,33
17.465,2577,74,34
17.758,2651,74,35
18.294,2725,74,36
18.440,2799,74,37
18.976,2873,74,38
19.366,2947,74,39
19.561,3021,74,40
19.999,3095,74,41
20.389,3169,74,42
20.682,3243,74,43
21.169,3317,74,44
21.556,3391,74,45
21.906,3465,74,46
22.246,3539,74,47
22.631,3613,74,48
22.977,3687,74,49
23.313,3761,74,50
23.614,3835,74,51
24.045,3909,74,52
24.435,3983,74,53
24.776,4057,74,54
25.118,4131,74,55
25.556,4205,74,56
25.853,4279,74,57
26.241,4351,72,58
26.747,4425,74,59
26.947,4499,74,60
27.408,4573,74,61
27.651,4647,74,62
28.143,4721,74,63
28.480,4795,74,64
28.826,4869,74,65
29.163,4943,74,66
29.601,5017,74,67
29.944,5091,74,68
30.283,5163,72,69
30.678,5237,74,70
31.063,5311,74,71
31.407,5385,74,72
31.750,5459,74,73
32.098,5533,74,74
32.574,5607,74,75
32.798,5681,74,76
33.262,5755,74,77
33.707,5829,74,78
34.035,5903,74,79
34.426,5977,74,80
34.773,6051,74,81
35.060,6125,74,82
35.401,6199,74,83
35.889,6273,74,84
36.134,6347,74,85
36.584,6421,74,86
36.860,6495,74,87
37.307,6569,74,88
37.937,6643,74,89
38.177,6717,74,90
38.325,6791,74,91
38.864,6865,74,92
39.105,6939,74,93
39.446,7013,74,94
39.886,7087,74,95
40.129,7161,74,96
40.568,7235,74,97
41.150,7309,74,98
41.259,7383,74,99
41.987,7457,74,100
42.101,7531,74,101
42.375,7605,74,102
42.817,7679,74,103
43.058,7753,74,104
43.492,7827,74,105
43.900,7901,74,106
44.369,7975,74,107
44.613,8049,74,108
45.198,8123,74,109
45.345,8197,74,110
46.124,8271,74,111
46.146,8345,74,112
46.422,8419,74,113
46.806,8493,74,114
47.162,8567,74,115
47.637,8641,74,116
48.025,8715,74,117
48.220,8789,74,118
48.610,8863,74,119
49.108,8937,74,120
49.399,9011,74,121
49.731,9085,74,122
50.266,9159,74,123
50.413,9232,73,124
50.901,9306,74,125
51.147,9380,74,126
51.541,9454,74,127
51.981,9528,74,128
52.390,9602,74,129
52.718,9676,74,130
53.153,9750,74,131
53.362,9824,74,132
53.830,9898,74,133
54.216,9972,74,134
54.511,10046,74,135
54.901,10120,74,136
55.336,10194,74,137
55.629,10268,74,138
56.019,10342,74,139
56.317,10416,74,140
56.706,10490,74,141
57.159,10564,74,142
57.487,10638,74,143
57.822,10712,74,144
58.259,10786,74,145
58.700,10860,74,146
58.955,10934,74,147
59.436,11008,74,148
59.634,11082,74,149
60.020,11156,74,150
60.456,11230,74,151
60.747,11304,74,152
61.236,11378,74,153
61.429,11452,74,154
61.839,11526,74,155
62.258,11600,74,156
62.553,11674,74,157
62.995,11748,74,158
63.381,11822,74,159
63.623,11896,74,160
64.064,11970,74,161
64.505,12044,74,162
64.802,12118,74,163
65.232,12192,74,164
65.573,12266,74,165
65.865,12340,74,166
66.314,12414,74,167
66.698,12488,74,168
66.986,12562,74,169
67.571,12634,72,170
67.670,12708,74,171
68.180,12782,74,172
68.505,12856,74,173
68.839,12930,74,174
69.240,13004,74,175
69.716,13078,74,176
69.912,13152,74,177
70.353,13224,72,178
70.694,13298,74,179
71.032,13372,74,180
71.427,13446,74,181
71.814,13520,74,182
72.153,13594,74,183
72.543,13668,74,184
72.836,13742,74,185
73.279,13816,74,186
73.718,13890,74,187
73.957,13964,74,188
74.404,14038,74,189
74.640,14112,74,190
75.096,14186,74,191
75.476,14260,74,192
75.817,14334,74,193
76.152,14408,74,194
76.589,14480,72,195
76.882,14554,74,196
77.561,14628,74,197
77.735,14702,74,198
77.954,14776,74,199
78.413,14850,74,200
78.685,14924,74,201
79.224,14998,74,202
79.568,15072,74,203
79.761,15146,74,204
80.196,15220,74,205
80.642,15294,74,206
80.879,15368,74,207
81.475,15442,74,208
81.750,15516,74,209
82.007,15590,74,210
82.439,15664,74,211
82.838,15738,74,212
83.122,15812,74,213
83.656,15886,74,214
83.813,15960,74,215
84.296,16034,74,216
84.632,16108,74,217
85.166,16182,74,218
85.458,16256,74,219
85.769,16330,74,220
86.046,16404,74,221
86.448,16478,74,222
86.881,16552,74,223
87.229,16626,74,224
87.562,16700,74,225
88.098,16774,74,226
88.240,16848,74,227
88.732,16922,74,228
89.020,16996,74,229
89.361,17070,74,230
89.800,17144,74,231
90.048,17218,74,232
90.482,17292,74,233
90.974,17366,74,234
91.308,17440,74,235
91.605,17514,74,236
92.047,17588,74,237
92.296,17662,74,238
92.824,17736,74,239
93.114,17810,74,240
93.464,17884,74,241
93.797,17958,74,242
94.141,18032,74,243
94.533,18106,74,244
94.918,18180,74,245
95.211,18254,74,246
95.651,18328,74,247
96.192,18402,74,248
96.380,18476,74,249
96.731,18550,74,250
97.311,18624,74,251
97.462,18697,73,252
97.901,18771,74,253
98.285,18845,74,254
98.528,18919,74,255
98.964,18993,74,256
99.257,19067,74,257
99.695,19141,74,258
100.140,19215,74,259
100.378,19289,74,260
100.768,19363,74,261
101.206,19437,74,262
101.453,19511,74,263
101.889,19585,74,264
102.328,19659,74,265
102.571,19733,74,266
103.010,19807,74,267
103.449,19881,74,268
103.693,19955,74,269
104.143,20029,74,270
104.519,20102,73,271
104.815,20176,74,272
105.253,20250,74,273
105.497,20324,74,274
105.935,20398,74,275
106.410,20472,74,276
106.620,20546,74,277
107.056,20620,74,278
107.495,20694,74,279
107.741,20768,74,280
108.136,20842,74,281
108.422,20916,74,282
108.860,20990,74,283
109.255,21064,74,284
109.603,21138,74,285
