df_hash,22ZHK4.UV7K0H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.28U2
person_label,V14
date_time_start,2025-05-22_11-35-10.119000_+03
date_time_start_unix,1747902910.119
date_time_end,2025-05-22_11-42-52.559000_+03
length_difference_noticed,no

time,ble_sample_counter_acc,ble_sample_amount_acc,ble_packet_counter_acc
5.654,75,75,0
6.337,150,75,1
7.165,225,75,2
7.750,300,75,3
8.628,375,75,4
9.261,450,75,5
10.139,525,75,6
10.724,600,75,7
11.623,675,75,8
12.235,750,75,9
13.132,825,75,10
13.698,900,75,11
14.575,975,75,12
15.210,1050,75,13
16.090,1125,75,14
16.672,1200,75,15
17.598,1275,75,16
18.183,1350,75,17
19.063,1425,75,18
19.668,1500,75,19
20.572,1575,75,20
21.157,1650,75,21
22.034,1725,75,22
22.619,1800,75,23
23.546,1875,75,24
24.150,1950,75,25
25.008,2025,75,26
25.641,2100,75,27
26.519,2175,75,28
27.105,2250,75,29
28.275,2325,75,30
28.598,2400,75,31
29.497,2475,75,32
30.270,2550,75,33
30.955,2625,75,34
31.627,2700,75,35
32.563,2775,75,36
33.052,2850,75,37
33.930,2925,75,38
34.563,3000,75,39
35.440,3075,75,40
36.038,3150,75,41
36.903,3225,75,42
37.537,3300,75,43
38.418,3375,75,44
38.999,3450,75,45
39.912,3525,75,46
40.511,3600,75,47
41.388,3675,75,48
41.973,3750,75,49
42.901,3825,75,50
43.484,3900,75,51
44.362,3975,75,52
45.044,4050,75,53
45.873,4125,75,54
46.463,4200,75,55
47.337,4275,75,56
47.921,4350,75,57
48.847,4425,75,58
49.432,4500,75,59
50.311,4575,75,60
50.894,4650,75,61
51.821,4725,75,62
52.406,4800,75,63
53.284,4875,75,64
53.868,4950,75,65
55.036,5025,75,66
55.383,5100,75,67
56.260,5175,75,68
56.988,5250,75,69
57.771,5325,75,70
58.362,5400,75,71
59.231,5475,75,72
59.913,5550,75,73
60.744,5625,75,74
61.348,5700,75,75
62.205,5775,75,76
62.838,5850,75,77
63.736,5925,75,78
64.304,6000,75,79
65.229,6075,75,80
65.829,6150,75,81
66.690,6225,75,82
67.275,6300,75,83
68.201,6373,73,84
68.786,6448,75,85
69.758,6523,75,86
70.250,6589,66,87
71.176,6664,75,88
71.794,6739,75,89
72.637,6814,75,90
73.223,6889,75,91
74.151,6964,75,92
74.733,7039,75,93
75.612,7114,75,94
76.197,7189,75,95
77.122,7264,75,96
77.768,7339,75,97
78.593,7414,75,98
79.218,7489,75,99
80.240,7564,75,100
80.681,7639,75,101
81.558,7714,75,102
82.195,7789,75,103
83.070,7864,75,104
83.655,7939,75,105
84.532,8014,75,106
85.167,8089,75,107
86.093,8164,75,108
86.628,8239,75,109
87.580,8314,75,110
88.140,8389,75,111
89.017,8464,75,112
89.603,8539,75,113
90.533,8614,75,114
91.113,8689,75,115
91.991,8764,75,116
92.576,8839,75,117
93.502,8914,75,118
94.089,8989,75,119
95.254,9064,75,120
95.576,9139,75,121
96.496,9214,75,122
97.061,9289,75,123
97.938,9364,75,124
98.671,9439,75,125
99.450,9514,75,126
100.035,9589,75,127
101.058,9664,75,128
101.546,9739,75,129
102.423,9814,75,130
103.009,9889,75,131
103.886,9964,75,132
104.520,10039,75,133
105.400,10114,75,134
105.982,10189,75,135
106.913,10264,75,136
107.493,10339,75,137
108.371,10414,75,138
108.978,10489,75,139
109.883,10564,75,140
110.467,10639,75,141
111.368,10714,75,142
111.964,10789,75,143
112.880,10864,75,144
113.548,10939,75,145
114.320,11014,75,146
114.903,11089,75,147
115.830,11164,75,148
116.416,11239,75,149
117.312,11314,75,150
117.907,11389,75,151
118.803,11464,75,152
119.400,11539,75,153
120.268,11614,75,154
120.900,11689,75,155
122.021,11764,75,156
122.362,11839,75,157
123.244,11914,75,158
123.874,11989,75,159
124.751,12064,75,160
125.534,12139,75,161
126.214,12214,75,162
126.847,12289,75,163
128.017,12364,75,164
128.310,12439,75,165
129.236,12514,75,166
129.854,12589,75,167
130.699,12664,75,168
131.284,12739,75,169
132.210,12814,75,170
132.795,12889,75,171
133.672,12964,75,172
134.259,13039,75,173
135.184,13114,75,174
135.769,13189,75,175
136.661,13264,75,176
137.281,13339,75,177
138.180,13414,75,178
138.742,13489,75,179
139.631,13563,74,180
140.269,13638,75,181
141.131,13713,75,182
141.716,13788,75,183
142.312,13859,71,184
143.227,13930,71,185
143.818,14005,75,186
144.690,14080,75,187
145.282,14148,68,188
145.957,14218,70,189
147.041,14281,63,190
147.371,14355,74,191
148.295,14425,70,192
