df_hash,22ZHK4.SWSTG1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3DZJ
person_label,V43
date_time_start,2025-10-27_14-26-26.785000_+03
date_time_start_unix,1761560786.785
date_time_end,2025-10-27_14-34-14.077000_+03
length_difference_noticed,no

time,ble_sample_counter,ble_sample_amount,ble_packet_counter
6.591,211,74,2
7.140,285,74,3
7.315,359,74,4
7.705,433,74,5
8.192,507,74,6
8.387,581,74,7
8.924,655,74,8
9.314,729,74,9
9.509,803,74,10
9.996,877,74,11
10.191,951,74,12
10.681,1025,74,13
11.069,1099,74,14
11.319,1173,74,15
11.851,1247,74,16
12.144,1321,74,17
12.555,1395,74,18
12.882,1467,72,19
13.455,1541,74,20
13.603,1615,74,21
13.945,1689,74,22
14.339,1763,74,23
14.777,1835,72,24
15.070,1909,74,25
15.484,1983,74,26
15.754,2057,74,27
16.358,2131,74,28
16.546,2205,74,29
17.260,2279,74,30
17.302,2353,74,31
17.601,2427,74,32
18.040,2501,74,33
18.284,2575,74,34
18.722,2647,72,35
19.064,2721,74,36
19.405,2795,74,37
19.844,2869,74,38
20.185,2943,74,39
20.575,3017,74,40
20.868,3091,74,41
21.549,3165,74,42
21.648,3237,72,43
21.989,3311,74,44
22.282,3385,74,45
22.671,3459,74,46
23.110,3533,74,47
23.503,3607,74,48
24.280,3680,73,49
24.303,3754,74,50
24.558,3828,74,51
24.963,3902,74,52
25.255,3976,74,53
25.596,4050,74,54
26.038,4124,74,55
26.328,4198,74,56
26.718,4272,74,57
27.156,4346,74,58
27.451,4420,74,59
27.839,4494,74,60
28.229,4568,74,61
28.580,4642,74,62
28.960,4716,74,63
29.370,4790,74,64
29.884,4864,74,65
30.081,4938,74,66
30.570,5012,74,67
30.768,5086,74,68
31.202,5160,74,69
31.495,5234,74,70
31.885,5308,74,71
32.421,5382,74,72
32.958,5456,74,73
32.979,5530,74,74
33.446,5604,74,75
33.689,5678,74,76
34.180,5752,74,77
34.567,5826,74,78
34.762,5900,74,79
35.249,5974,74,80
35.493,6048,74,81
35.981,6122,74,82
36.321,6196,74,83
36.711,6270,74,84
37.054,6344,74,85
37.496,6418,74,86
37.837,6492,74,87
38.320,6566,74,88
38.659,6640,74,89
38.857,6714,74,90
39.246,6788,74,91
39.736,6860,72,92
39.978,6934,74,93
40.417,7008,74,94
40.734,7082,74,95
41.194,7156,74,96
41.440,7230,74,97
41.735,7304,74,98
42.221,7378,74,99
42.568,7452,74,100
42.854,7526,74,101
43.244,7600,74,102
43.683,7674,74,103
43.975,7748,74,104
44.368,7822,74,105
44.755,7896,74,106
45.097,7970,74,107
45.486,8044,74,108
45.779,8118,74,109
46.169,8192,74,110
46.609,8266,74,111
46.900,8340,74,112
47.290,8414,74,113
47.729,8488,74,114
47.973,8562,74,115
48.468,8636,74,116
48.801,8710,74,117
49.095,8784,74,118
49.533,8858,74,119
49.777,8932,74,120
50.215,9006,74,121
50.656,9080,74,122
50.898,9154,74,123
51.337,9228,74,124
51.727,9302,74,125
52.020,9376,74,126
52.614,9450,74,127
53.137,9524,74,128
53.507,9598,74,129
53.628,9672,74,130
54.019,9746,74,131
54.310,9820,74,132
54.652,9894,74,133
54.944,9968,74,134
55.479,10042,74,135
55.822,10116,74,136
56.260,10190,74,137
56.891,10264,74,138
56.993,10338,74,139
57.266,10412,74,140
57.578,10486,74,141
58.015,10560,74,142
58.357,10634,74,143
58.698,10708,74,144
59.210,10782,74,145
59.429,10856,74,146
59.824,10928,72,147
60.160,11002,74,148
60.502,11076,74,149
60.892,11150,74,150
61.242,11224,74,151
61.623,11298,74,152
62.108,11372,74,153
62.306,11446,74,154
62.695,11520,74,155
63.186,11594,74,156
63.427,11666,72,157
63.817,11740,74,158
64.165,11814,74,159
64.543,11888,74,160
64.938,11962,74,161
65.302,12036,74,162
65.670,12110,74,163
66.083,12184,74,164
66.401,12258,74,165
66.745,12332,74,166
67.243,12406,74,167
67.473,12480,74,168
67.915,12554,74,169
68.363,12628,74,170
68.545,12700,72,171
69.228,12774,74,172
69.253,12848,74,173
69.669,12922,74,174
70.113,12996,74,175
70.398,13070,74,176
70.789,13144,74,177
71.380,13218,74,178
71.477,13290,72,179
72.153,13364,74,180
72.174,13438,74,181
72.592,13512,74,182
72.986,13586,74,183
73.274,13660,74,184
73.713,13734,74,185
74.110,13808,74,186
74.396,13882,74,187
74.789,13956,74,188
75.333,14030,74,189
75.517,14104,74,190
76.006,14178,74,191
76.199,14252,74,192
76.589,14326,74,193
77.028,14400,74,194
77.321,14474,74,195
77.710,14548,74,196
78.149,14622,74,197
78.537,14696,74,198
78.885,14770,74,199
79.271,14844,74,200
79.661,14918,74,201
79.953,14992,74,202
80.392,15066,74,203
80.685,15139,73,204
81.171,15213,74,205
81.367,15287,74,206
81.809,15361,74,207
82.244,15435,74,208
82.488,15509,74,209
82.881,15583,74,210
83.273,15657,74,211
83.609,15731,74,212
84.243,15805,74,213
84.438,15879,74,214
84.686,15953,74,215
85.084,16027,74,216
85.512,16101,74,217
85.803,16175,74,218
86.195,16249,74,219
86.486,16323,74,220
86.995,16397,74,221
87.316,16471,74,222
87.608,16545,74,223
88.049,16619,74,224
